1,上田 龍星,上田 龍星.1,2,大場 広孝,大場 広孝.1,3,山崎 昂介,山崎 昂介.1,4,澤崎 雄哉,澤崎 雄哉.1,5,平岡 重典,平岡 重典.1,6,國分　将太郎,國分　将太郎.1
2.0,3.0,5.6,1.0,3.0,89.7,1.0,2.0,76.7,1.0,2.0,107.5,1.0,2.0,1044.0,1.0,2.0,632.3
2.0,4.0,6.5,1.0,4.0,97.3,1.0,4.0,56.1,1.0,3.0,121.3,1.0,3.0,912.8,1.0,3.0,661.7
2.0,5.0,25.0,1.0,5.0,243.6,1.0,5.0,149.5,1.0,5.0,209.2,1.0,4.0,1227.0,1.0,4.0,946.8
2.0,6.0,23.8,1.0,6.0,226.0,1.0,6.0,132.8,1.0,6.0,189.6,1.0,6.0,1159.0,1.0,5.0,1711.0
3.0,2.0,6.4,3.0,1.0,255.5,2.0,1.0,214.2,2.0,1.0,258.7,2.0,1.0,1914.0,2.0,1.0,1541.0
3.0,4.0,7.6,3.0,4.0,491.7,2.0,4.0,387.3,2.0,3.0,566.9,2.0,3.0,2991.0,2.0,3.0,4000.0
3.0,5.0,22.8,3.0,5.0,975.3,2.0,5.0,717.7,2.0,5.0,872.5,2.0,4.0,2803.0,2.0,4.0,2966.0
3.0,6.0,19.6,3.0,6.0,1202.0,2.0,6.0,847.6,2.0,6.0,617.0,2.0,6.0,2579.0,2.0,5.0,4623.0
4.0,2.0,10.0,4.0,1.0,280.1,4.0,1.0,197.4,3.0,1.0,312.5,3.0,1.0,1280.0,3.0,1.0,1308.0
4.0,3.0,13.3,4.0,3.0,629.0,4.0,2.0,389.0,3.0,2.0,695.3,3.0,2.0,3423.0,3.0,2.0,3490.0
4.0,5.0,31.5,4.0,5.0,1219.0,4.0,5.0,523.5,3.0,5.0,980.7,3.0,4.0,3236.0,3.0,4.0,3207.0
4.0,6.0,28.2,4.0,6.0,874.7,4.0,6.0,472.7,3.0,6.0,763.9,3.0,6.0,2106.0,3.0,5.0,3358.0
5.0,2.0,65.6,5.0,1.0,1155.0,5.0,1.0,591.3,5.0,1.0,409.2,4.0,1.0,1429.0,4.0,1.0,1863.0
5.0,3.0,70.4,5.0,3.0,1966.0,5.0,2.0,1095.0,5.0,2.0,835.7,4.0,2.0,2438.0,4.0,2.0,2759.0
5.0,4.0,84.9,5.0,4.0,1934.0,5.0,4.0,1000.0,5.0,3.0,988.9,4.0,3.0,2803.0,4.0,3.0,3327.0
5.0,6.0,114.0,5.0,6.0,2676.0,5.0,6.0,1109.0,5.0,6.0,344.9,4.0,6.0,855.8,4.0,5.0,1453.0
6.0,2.0,72.1,6.0,1.0,1028.0,6.0,1.0,590.4,6.0,1.0,391.6,6.0,1.0,2472.0,5.0,1.0,3207.0
6.0,3.0,78.9,6.0,3.0,2561.0,6.0,2.0,1182.0,6.0,2.0,773.9,6.0,2.0,4506.0,5.0,2.0,4395.0
6.0,4.0,85.7,6.0,4.0,1655.0,6.0,4.0,794.6,6.0,3.0,827.9,6.0,3.0,2942.0,5.0,3.0,3869.0
6.0,5.0,158.6,6.0,5.0,2617.0,6.0,5.0,1219.0,6.0,5.0,511.5,6.0,4.0,1610.0,5.0,4.0,1789.0
