1,前出 達吉,前出 達吉.1,2,屋良 龍紀,屋良 龍紀.1,3,大場 広孝,大場 広孝.1,4,竹腰 正樹,竹腰 正樹.1,5,大澤 大夢,大澤 大夢.1,6,吉原 快誓,吉原 快誓.1
2.0,3.0,12.6,1.0,3.0,37.6,1.0,2.0,57.4,1.0,2.0,89.1,1.0,2.0,145.7,1.0,2.0,2317.0
2.0,4.0,21.3,1.0,4.0,51.3,1.0,4.0,27.0,1.0,3.0,62.8,1.0,3.0,88.4,1.0,3.0,2138.0
2.0,5.0,24.5,1.0,5.0,63.3,1.0,5.0,26.1,1.0,5.0,55.0,1.0,4.0,108.8,1.0,4.0,2780.0
2.0,6.0,291.9,1.0,6.0,439.6,1.0,6.0,393.0,1.0,6.0,465.3,1.0,6.0,695.1,1.0,5.0,3177.0
3.0,2.0,13.2,3.0,1.0,84.1,2.0,1.0,97.5,2.0,1.0,130.2,2.0,1.0,222.4,2.0,1.0,3475.0
3.0,4.0,9.5,3.0,4.0,87.3,2.0,4.0,91.4,2.0,3.0,148.4,2.0,3.0,193.7,2.0,3.0,4277.0
3.0,5.0,10.1,3.0,5.0,99.2,2.0,5.0,95.0,2.0,5.0,141.5,2.0,4.0,216.3,2.0,4.0,4634.0
3.0,6.0,258.6,3.0,6.0,1090.0,2.0,6.0,611.1,2.0,6.0,842.5,2.0,6.0,1373.0,2.0,5.0,3475.0
4.0,2.0,31.3,4.0,1.0,112.0,4.0,1.0,40.4,3.0,1.0,73.5,3.0,1.0,95.9,3.0,1.0,2926.0
4.0,3.0,18.2,4.0,3.0,113.3,4.0,2.0,70.0,3.0,2.0,107.8,3.0,2.0,179.6,3.0,2.0,2926.0
4.0,5.0,27.2,4.0,5.0,141.1,4.0,5.0,37.0,3.0,5.0,60.9,3.0,4.0,109.4,3.0,4.0,3177.0
4.0,6.0,448.4,4.0,6.0,1158.0,4.0,6.0,501.0,3.0,6.0,678.1,3.0,6.0,788.8,3.0,5.0,5055.0
5.0,2.0,50.5,5.0,1.0,195.4,5.0,1.0,47.2,5.0,1.0,48.9,4.0,1.0,95.5,4.0,1.0,3707.0
5.0,3.0,26.2,5.0,3.0,181.1,5.0,2.0,89.9,5.0,2.0,84.0,4.0,2.0,158.2,4.0,2.0,5296.0
5.0,4.0,43.4,5.0,4.0,230.2,5.0,4.0,51.5,5.0,3.0,59.1,4.0,3.0,109.5,4.0,3.0,5055.0
5.0,6.0,427.7,5.0,6.0,1566.0,5.0,6.0,494.3,5.0,6.0,283.0,4.0,6.0,465.3,4.0,5.0,3587.0
6.0,2.0,1222.0,6.0,1.0,2059.0,6.0,1.0,1195.0,6.0,1.0,1049.0,6.0,1.0,1951.0,5.0,1.0,4277.0
6.0,3.0,889.7,6.0,3.0,2780.0,6.0,2.0,1425.0,6.0,2.0,1986.0,6.0,2.0,2417.0,5.0,2.0,4634.0
6.0,4.0,1049.0,6.0,4.0,2586.0,6.0,4.0,1588.0,6.0,3.0,1823.0,6.0,3.0,2022.0,5.0,3.0,5055.0
6.0,5.0,450.2,6.0,5.0,2851.0,6.0,5.0,1249.0,6.0,5.0,993.0,6.0,4.0,1737.0,5.0,4.0,3587.0
