1,木下 翔太,木下 翔太.1,2,中井 俊祐,中井 俊祐.1,3,池田 雄祐,池田 雄祐.1,4,中渡 修作,中渡 修作.1,5,上原　健次郎,上原　健次郎.1,6,吉原 快誓,吉原 快誓.1
2.0,3.0,10.7,1.0,3.0,90.5,1.0,2.0,18.7,1.0,2.0,209.0,1.0,2.0,420.4,1.0,2.0,4888.0
2.0,4.0,28.4,1.0,4.0,222.9,1.0,4.0,12.7,1.0,3.0,101.2,1.0,3.0,153.8,1.0,3.0,4387.0
2.0,5.0,34.1,1.0,5.0,278.6,1.0,5.0,14.0,1.0,5.0,147.1,1.0,4.0,350.6,1.0,4.0,4888.0
2.0,6.0,382.7,1.0,6.0,1437.0,1.0,6.0,250.3,1.0,6.0,898.1,1.0,6.0,1685.0,1.0,5.0,6456.0
3.0,2.0,5.8,3.0,1.0,138.9,2.0,1.0,67.5,2.0,1.0,516.1,2.0,1.0,891.1,2.0,1.0,6003.0
3.0,4.0,6.6,3.0,4.0,376.4,2.0,4.0,121.3,2.0,3.0,653.0,2.0,3.0,1030.0,2.0,3.0,6709.0
3.0,5.0,6.7,3.0,5.0,552.8,2.0,5.0,156.1,2.0,5.0,834.6,2.0,4.0,1396.0,2.0,4.0,9005.0
3.0,6.0,137.9,3.0,6.0,2652.0,2.0,6.0,1056.0,2.0,6.0,2461.0,2.0,6.0,3110.0,2.0,5.0,7777.0
4.0,2.0,37.3,4.0,1.0,552.8,4.0,1.0,25.2,3.0,1.0,98.6,3.0,1.0,220.2,3.0,1.0,4562.0
4.0,3.0,20.6,4.0,3.0,574.1,4.0,2.0,63.2,3.0,2.0,270.7,3.0,2.0,575.1,3.0,2.0,6456.0
4.0,5.0,38.5,4.0,5.0,1133.0,4.0,5.0,32.6,3.0,5.0,121.8,3.0,4.0,375.6,3.0,4.0,4888.0
4.0,6.0,368.7,4.0,6.0,1253.0,4.0,6.0,342.5,3.0,6.0,851.2,3.0,6.0,1944.0,3.0,5.0,5184.0
5.0,2.0,52.5,5.0,1.0,812.8,5.0,1.0,39.7,5.0,1.0,225.4,4.0,1.0,459.9,4.0,1.0,6337.0
5.0,3.0,30.8,5.0,3.0,1100.0,5.0,2.0,117.4,5.0,2.0,493.8,4.0,2.0,866.3,4.0,2.0,7439.0
5.0,4.0,61.7,5.0,4.0,1306.0,5.0,4.0,57.7,5.0,3.0,242.0,4.0,3.0,502.5,4.0,3.0,6983.0
5.0,6.0,466.8,5.0,6.0,4331.0,5.0,6.0,522.4,5.0,6.0,1072.0,4.0,6.0,2165.0,4.0,5.0,7439.0
6.0,2.0,820.6,6.0,1.0,3933.0,6.0,1.0,1253.0,6.0,1.0,2327.0,6.0,1.0,4819.0,5.0,1.0,6003.0
6.0,3.0,723.4,6.0,3.0,5800.0,6.0,2.0,2179.0,6.0,2.0,5184.0,6.0,2.0,5800.0,5.0,2.0,7129.0
6.0,4.0,947.9,6.0,4.0,7281.0,6.0,4.0,1576.0,6.0,3.0,3979.0,6.0,3.0,4277.0,5.0,3.0,7129.0
6.0,5.0,1030.0,6.0,5.0,6844.0,6.0,5.0,2012.0,6.0,5.0,3388.0,6.0,4.0,5431.0,5.0,4.0,7439.0
