1,尾上 雅也,尾上 雅也.1,2,川崎 智稔,川崎 智稔.1,3,谷津 幸宏,谷津 幸宏.1,4,山田 哲也,山田 哲也.1,5,青木 蓮,青木 蓮.1,6,澤崎 雄哉,澤崎 雄哉.1
2.0,3.0,13.0,1.0,3.0,125.1,1.0,2.0,132.5,1.0,2.0,75.5,1.0,2.0,79.7,1.0,2.0,1317.0
2.0,4.0,13.9,1.0,4.0,120.3,1.0,4.0,73.4,1.0,3.0,61.7,1.0,3.0,63.6,1.0,3.0,1502.0
2.0,5.0,12.9,1.0,5.0,119.0,1.0,5.0,90.9,1.0,5.0,51.8,1.0,4.0,62.7,1.0,4.0,967.6
2.0,6.0,67.3,1.0,6.0,356.8,1.0,6.0,175.1,1.0,6.0,111.6,1.0,6.0,134.3,1.0,5.0,1529.0
3.0,2.0,17.4,3.0,1.0,302.4,2.0,1.0,305.4,2.0,1.0,220.1,2.0,1.0,174.5,2.0,1.0,2269.0
3.0,4.0,11.4,3.0,4.0,665.7,2.0,4.0,451.0,2.0,3.0,370.7,2.0,3.0,252.9,2.0,3.0,3526.0
3.0,5.0,12.7,3.0,5.0,651.5,2.0,5.0,463.3,2.0,5.0,313.0,2.0,4.0,268.2,2.0,4.0,2984.0
3.0,6.0,55.8,3.0,6.0,1153.0,2.0,6.0,528.1,2.0,6.0,452.0,2.0,6.0,377.3,2.0,5.0,3048.0
4.0,2.0,20.6,4.0,1.0,326.5,4.0,1.0,111.2,3.0,1.0,125.4,3.0,1.0,140.5,3.0,1.0,2091.0
4.0,3.0,14.8,4.0,3.0,718.4,4.0,2.0,252.8,3.0,2.0,258.9,3.0,2.0,253.8,3.0,2.0,3114.0
4.0,5.0,14.9,4.0,5.0,669.9,4.0,5.0,178.5,3.0,5.0,173.7,3.0,4.0,176.9,3.0,4.0,1888.0
4.0,6.0,58.0,4.0,6.0,1153.0,4.0,6.0,193.3,3.0,6.0,207.4,3.0,6.0,284.8,3.0,5.0,3308.0
5.0,2.0,14.9,5.0,1.0,269.4,5.0,1.0,197.8,5.0,1.0,90.0,4.0,1.0,114.9,4.0,1.0,1131.0
5.0,3.0,13.6,5.0,3.0,611.3,5.0,2.0,385.4,5.0,2.0,188.1,4.0,2.0,221.5,4.0,2.0,2102.0
5.0,4.0,15.2,5.0,4.0,605.3,5.0,4.0,269.9,5.0,3.0,158.6,4.0,3.0,178.6,4.0,3.0,1756.0
5.0,6.0,53.6,5.0,6.0,1317.0,5.0,6.0,456.8,5.0,6.0,189.9,4.0,6.0,256.4,4.0,5.0,1568.0
6.0,2.0,175.6,6.0,1.0,1105.0,6.0,1.0,530.1,6.0,1.0,193.6,6.0,1.0,534.0,5.0,1.0,2222.0
6.0,3.0,159.2,6.0,3.0,1975.0,6.0,2.0,894.6,6.0,2.0,317.7,6.0,2.0,885.3,5.0,2.0,1686.0
6.0,4.0,181.6,6.0,4.0,2144.0,6.0,4.0,608.7,6.0,3.0,352.0,6.0,3.0,814.3,5.0,3.0,3469.0
6.0,5.0,170.4,6.0,5.0,2155.0,6.0,5.0,870.8,6.0,5.0,263.0,6.0,4.0,705.3,5.0,4.0,1975.0
