1,澤崎 雄哉,澤崎 雄哉.1,2,中渡 修作,中渡 修作.1,3,屋良 龍紀,屋良 龍紀.1,4,森定 晃史,森定 晃史.1,5,真庭 明志,真庭 明志.1,6,乙藤 智史,乙藤 智史.1
2.0,3.0,51.4,1.0,3.0,146.8,1.0,2.0,168.8,1.0,2.0,51.9,1.0,2.0,210.2,1.0,2.0,743.6
2.0,4.0,22.5,1.0,4.0,64.5,1.0,4.0,44.6,1.0,3.0,52.7,1.0,3.0,194.8,1.0,3.0,638.7
2.0,5.0,42.1,1.0,5.0,115.2,1.0,5.0,73.2,1.0,5.0,15.6,1.0,4.0,81.1,1.0,4.0,305.0
2.0,6.0,65.1,1.0,6.0,159.0,1.0,6.0,138.4,1.0,6.0,31.1,1.0,6.0,171.4,1.0,5.0,409.5
3.0,2.0,65.9,3.0,1.0,294.2,2.0,1.0,227.5,2.0,1.0,128.1,2.0,1.0,349.2,2.0,1.0,1167.0
3.0,4.0,22.5,3.0,4.0,245.8,2.0,4.0,166.0,2.0,3.0,228.2,2.0,3.0,458.5,2.0,3.0,1167.0
3.0,5.0,42.7,3.0,5.0,395.4,2.0,5.0,253.7,2.0,5.0,96.7,2.0,4.0,220.7,2.0,4.0,695.2
3.0,6.0,83.6,3.0,6.0,676.3,2.0,6.0,428.2,2.0,6.0,149.1,2.0,6.0,401.8,2.0,5.0,889.7
4.0,2.0,19.1,4.0,1.0,116.1,4.0,1.0,56.7,3.0,1.0,81.2,3.0,1.0,291.9,3.0,1.0,922.6
4.0,3.0,19.9,4.0,3.0,240.3,4.0,2.0,139.3,3.0,2.0,200.0,3.0,2.0,543.5,3.0,2.0,1525.0
4.0,5.0,11.4,4.0,5.0,147.9,4.0,5.0,49.7,3.0,5.0,61.5,3.0,4.0,186.6,3.0,4.0,854.1
4.0,6.0,21.0,4.0,6.0,223.7,4.0,6.0,101.6,3.0,6.0,137.6,3.0,6.0,382.2,3.0,5.0,1186.0
5.0,2.0,63.1,5.0,1.0,283.6,5.0,1.0,136.7,5.0,1.0,19.8,4.0,1.0,64.4,4.0,1.0,262.2
5.0,3.0,61.5,5.0,3.0,470.0,5.0,2.0,273.2,5.0,2.0,61.9,4.0,2.0,162.8,4.0,2.0,566.1
5.0,4.0,28.5,5.0,4.0,224.0,5.0,4.0,101.2,5.0,3.0,59.4,4.0,3.0,126.5,4.0,3.0,612.5
5.0,6.0,59.7,5.0,6.0,458.5,5.0,6.0,190.4,5.0,6.0,19.5,4.0,6.0,66.2,4.0,5.0,192.3
6.0,2.0,190.6,6.0,1.0,825.8,6.0,1.0,424.6,6.0,1.0,76.1,6.0,1.0,282.0,5.0,1.0,526.3
6.0,3.0,164.6,6.0,3.0,1038.0,6.0,2.0,658.4,6.0,2.0,153.7,6.0,2.0,519.0,5.0,2.0,1030.0
6.0,4.0,79.3,6.0,4.0,533.8,6.0,4.0,260.8,6.0,3.0,207.3,6.0,3.0,557.7,5.0,3.0,940.0
6.0,5.0,125.5,6.0,5.0,739.9,6.0,5.0,344.4,6.0,5.0,46.6,6.0,4.0,138.0,5.0,4.0,210.8
