1,尾上 雅也,尾上 雅也.1,2,森定 晃史,森定 晃史.1,3,池田 雄祐,池田 雄祐.1,4,木下 翔太,木下 翔太.1,5,川崎 智稔,川崎 智稔.1,6,上田 龍星,上田 龍星.1
2.0,3.0,9.2,1.0,3.0,63.6,1.0,2.0,41.2,1.0,2.0,178.1,1.0,2.0,384.8,1.0,2.0,452.2
2.0,4.0,13.5,1.0,4.0,86.1,1.0,4.0,24.1,1.0,3.0,135.5,1.0,3.0,246.4,1.0,3.0,474.1
2.0,5.0,35.6,1.0,5.0,174.7,1.0,5.0,36.4,1.0,5.0,175.8,1.0,4.0,440.4,1.0,4.0,537.9
2.0,6.0,30.9,1.0,6.0,129.5,1.0,6.0,38.0,1.0,6.0,135.0,1.0,6.0,358.6,1.0,5.0,931.2
3.0,2.0,9.4,3.0,1.0,150.4,2.0,1.0,103.1,2.0,1.0,371.5,2.0,1.0,698.7,2.0,1.0,735.2
3.0,4.0,8.1,3.0,4.0,224.7,2.0,4.0,123.8,2.0,3.0,475.1,2.0,3.0,908.2,2.0,3.0,856.5
3.0,5.0,16.7,3.0,5.0,439.0,2.0,5.0,236.6,2.0,5.0,587.3,2.0,4.0,1055.0,2.0,4.0,816.3
3.0,6.0,17.2,3.0,6.0,320.9,2.0,6.0,175.7,2.0,6.0,426.3,2.0,6.0,987.7,2.0,5.0,1449.0
4.0,2.0,23.7,4.0,1.0,301.3,4.0,1.0,53.2,3.0,1.0,141.9,3.0,1.0,332.4,3.0,1.0,664.2
4.0,3.0,19.9,4.0,3.0,350.8,4.0,2.0,124.3,3.0,2.0,286.1,3.0,2.0,712.2,3.0,2.0,800.2
4.0,5.0,43.2,4.0,5.0,606.9,4.0,5.0,59.0,3.0,5.0,146.0,3.0,4.0,510.9,3.0,4.0,617.1
4.0,6.0,31.0,4.0,6.0,405.2,4.0,6.0,55.8,3.0,6.0,125.5,3.0,6.0,451.1,3.0,5.0,974.6
5.0,2.0,65.2,5.0,1.0,598.7,5.0,1.0,94.9,5.0,1.0,324.4,4.0,1.0,735.6,4.0,1.0,788.8
5.0,3.0,43.7,5.0,3.0,719.2,5.0,2.0,212.7,5.0,2.0,547.8,4.0,2.0,1079.0,4.0,2.0,932.3
5.0,4.0,69.4,5.0,4.0,936.8,5.0,4.0,106.5,5.0,3.0,349.6,4.0,3.0,728.6,4.0,3.0,777.3
5.0,6.0,68.0,5.0,6.0,907.2,5.0,6.0,110.5,5.0,6.0,319.9,4.0,6.0,757.5,4.0,5.0,1409.0
6.0,2.0,80.7,6.0,1.0,549.6,6.0,1.0,146.8,6.0,1.0,300.2,6.0,1.0,760.9,5.0,1.0,1442.0
6.0,3.0,64.9,6.0,3.0,655.2,6.0,2.0,264.0,6.0,2.0,438.8,6.0,2.0,1065.0,5.0,2.0,1729.0
6.0,4.0,79.9,6.0,4.0,662.5,6.0,4.0,156.2,6.0,3.0,375.8,6.0,3.0,885.9,5.0,3.0,1426.0
6.0,5.0,131.4,6.0,5.0,1142.0,6.0,5.0,201.8,6.0,5.0,503.3,6.0,4.0,1064.0,5.0,4.0,1482.0
