1,谷川 将太,谷川 将太.1,2,仲本 舜,仲本 舜.1,3,渡辺 空依,渡辺 空依.1,4,村岡 賢,村岡 賢.1,5,山地 正樹,山地 正樹.1,6,梶山 涼斗,梶山 涼斗.1
2.0,3.0,24.7,1.0,3.0,84.7,1.0,2.0,59.3,1.0,2.0,366.1,1.0,2.0,52.3,1.0,2.0,265.9
2.0,4.0,65.3,1.0,4.0,147.0,1.0,4.0,68.2,1.0,3.0,295.0,1.0,3.0,32.4,1.0,3.0,157.1
2.0,5.0,26.9,1.0,5.0,90.5,1.0,5.0,33.0,1.0,5.0,266.6,1.0,4.0,88.0,1.0,4.0,343.1
2.0,6.0,51.3,1.0,6.0,111.9,1.0,6.0,39.3,1.0,6.0,243.2,1.0,6.0,42.9,1.0,5.0,130.3
3.0,2.0,22.3,3.0,1.0,95.7,2.0,1.0,94.5,2.0,1.0,487.0,2.0,1.0,116.9,2.0,1.0,442.2
3.0,4.0,48.9,3.0,4.0,130.4,2.0,4.0,142.9,2.0,3.0,464.6,2.0,3.0,133.6,2.0,3.0,477.8
3.0,5.0,12.8,3.0,5.0,118.8,2.0,5.0,111.9,2.0,5.0,438.4,2.0,4.0,225.5,2.0,4.0,594.4
3.0,6.0,21.5,3.0,6.0,97.6,2.0,6.0,91.3,2.0,6.0,377.1,2.0,6.0,145.3,2.0,5.0,473.3
4.0,2.0,120.0,4.0,1.0,257.1,4.0,1.0,95.4,3.0,1.0,291.6,3.0,1.0,66.0,3.0,1.0,200.5
4.0,3.0,107.3,4.0,3.0,226.8,4.0,2.0,171.5,3.0,2.0,408.3,3.0,2.0,137.5,3.0,2.0,377.8
4.0,5.0,89.3,4.0,5.0,266.3,4.0,5.0,120.4,3.0,5.0,313.8,3.0,4.0,191.9,3.0,4.0,283.4
4.0,6.0,105.6,4.0,6.0,193.9,4.0,6.0,66.9,3.0,6.0,191.4,3.0,6.0,89.7,3.0,5.0,252.3
5.0,2.0,20.1,5.0,1.0,121.1,5.0,1.0,53.2,5.0,1.0,289.9,4.0,1.0,248.9,4.0,1.0,471.1
5.0,3.0,12.2,5.0,3.0,129.9,5.0,2.0,109.3,5.0,2.0,426.4,4.0,2.0,360.9,4.0,2.0,579.1
5.0,4.0,43.5,5.0,4.0,230.2,5.0,4.0,137.4,5.0,3.0,451.1,4.0,3.0,359.0,4.0,3.0,444.2
5.0,6.0,19.1,5.0,6.0,149.2,5.0,6.0,67.2,5.0,6.0,233.9,4.0,6.0,191.9,4.0,5.0,362.2
6.0,2.0,95.9,6.0,1.0,207.9,6.0,1.0,56.9,6.0,1.0,310.9,6.0,1.0,111.9,5.0,1.0,167.3
6.0,3.0,50.7,6.0,3.0,186.2,6.0,2.0,93.0,6.0,2.0,412.5,6.0,2.0,208.5,5.0,2.0,384.2
6.0,4.0,138.5,6.0,4.0,247.0,6.0,4.0,80.5,6.0,3.0,302.1,6.0,3.0,173.6,5.0,3.0,291.2
6.0,5.0,47.7,6.0,5.0,229.9,6.0,5.0,67.4,6.0,5.0,271.6,6.0,4.0,197.1,5.0,4.0,361.5
