1,小林 一樹,小林 一樹.1,2,四宮 与寛,四宮 与寛.1,3,丸尾 義孝,丸尾 義孝.1,4,山ノ内　雅人,山ノ内　雅人.1,5,梶山 涼斗,梶山 涼斗.1,6,麻生 慎介,麻生 慎介.1
2.0,3.0,7.6,1.0,3.0,30.4,1.0,2.0,95.5,1.0,2.0,67.2,1.0,2.0,497.2,1.0,2.0,323.5
2.0,4.0,6.3,1.0,4.0,25.0,1.0,4.0,78.0,1.0,3.0,115.7,1.0,3.0,551.1,1.0,3.0,405.1
2.0,5.0,37.1,1.0,5.0,86.2,1.0,5.0,208.5,1.0,5.0,114.4,1.0,4.0,455.5,1.0,4.0,380.5
2.0,6.0,19.5,1.0,6.0,46.6,1.0,6.0,112.3,1.0,6.0,80.2,1.0,6.0,455.5,1.0,5.0,870.9
3.0,2.0,12.1,3.0,1.0,98.1,2.0,1.0,181.3,2.0,1.0,109.7,2.0,1.0,827.6,2.0,1.0,435.8
3.0,4.0,10.4,3.0,4.0,137.5,2.0,4.0,231.1,2.0,3.0,218.5,2.0,3.0,1327.0,2.0,3.0,833.3
3.0,5.0,38.4,3.0,5.0,354.8,2.0,5.0,523.1,2.0,5.0,279.0,2.0,4.0,875.6,2.0,4.0,643.6
3.0,6.0,26.1,3.0,6.0,221.7,2.0,6.0,301.7,2.0,6.0,163.9,2.0,6.0,953.3,2.0,5.0,1487.0
4.0,2.0,13.0,4.0,1.0,73.7,4.0,1.0,169.7,3.0,1.0,211.8,3.0,1.0,1062.0,3.0,1.0,596.7
4.0,3.0,16.7,4.0,3.0,141.5,4.0,2.0,261.9,3.0,2.0,314.6,3.0,2.0,1803.0,3.0,2.0,915.4
4.0,5.0,39.6,4.0,5.0,275.1,4.0,5.0,423.2,3.0,5.0,505.6,3.0,4.0,1451.0,3.0,4.0,822.0
4.0,6.0,24.1,4.0,6.0,145.2,4.0,6.0,257.2,3.0,6.0,275.2,3.0,6.0,1549.0,3.0,5.0,1956.0
5.0,2.0,86.6,5.0,1.0,397.4,5.0,1.0,579.5,5.0,1.0,151.4,4.0,1.0,473.8,4.0,1.0,427.7
5.0,3.0,88.3,5.0,3.0,750.5,5.0,2.0,880.4,5.0,2.0,243.7,4.0,2.0,701.5,4.0,2.0,657.6
5.0,4.0,98.0,5.0,4.0,637.6,5.0,4.0,763.5,5.0,3.0,452.5,4.0,3.0,1126.0,4.0,3.0,866.2
5.0,6.0,124.9,5.0,6.0,646.2,5.0,6.0,850.9,5.0,6.0,181.0,4.0,6.0,587.3,4.0,5.0,908.5
6.0,2.0,68.7,6.0,1.0,202.3,6.0,1.0,334.0,6.0,1.0,144.8,6.0,1.0,934.9,5.0,1.0,1451.0
6.0,3.0,77.0,6.0,3.0,399.4,6.0,2.0,509.3,6.0,2.0,208.2,6.0,2.0,1199.0,5.0,2.0,1918.0
6.0,4.0,76.1,6.0,4.0,321.3,6.0,4.0,436.6,6.0,3.0,293.8,6.0,3.0,1539.0,5.0,3.0,2119.0
6.0,5.0,163.1,6.0,5.0,687.5,6.0,5.0,920.6,6.0,5.0,251.0,6.0,4.0,917.1,5.0,4.0,1396.0
