1,渡辺 空依,渡辺 空依.1,2,野見山　拓己,野見山　拓己.1,3,齊藤 大将,齊藤 大将.1,4,山下 流心,山下 流心.1,5,村岡 賢,村岡 賢.1,6,鐘ヶ江　真司,鐘ヶ江　真司.1
2.0,3.0,7.1,1.0,3.0,20.0,1.0,2.0,22.5,1.0,2.0,67.7,1.0,2.0,286.9,1.0,2.0,1203.0
2.0,4.0,8.9,1.0,4.0,23.3,1.0,4.0,28.7,1.0,3.0,67.5,1.0,3.0,239.4,1.0,3.0,2241.0
2.0,5.0,34.2,1.0,5.0,54.3,1.0,5.0,56.0,1.0,5.0,87.4,1.0,4.0,301.6,1.0,4.0,2241.0
2.0,6.0,192.3,1.0,6.0,235.9,1.0,6.0,381.2,1.0,6.0,393.9,1.0,6.0,718.2,1.0,5.0,1238.0
3.0,2.0,8.9,3.0,1.0,41.4,2.0,1.0,48.1,2.0,1.0,91.8,2.0,1.0,391.5,2.0,1.0,1780.0
3.0,4.0,10.9,3.0,4.0,61.4,2.0,4.0,59.2,2.0,3.0,128.5,2.0,3.0,368.2,2.0,3.0,2321.0
3.0,5.0,25.3,3.0,5.0,100.0,2.0,5.0,94.7,2.0,5.0,154.0,2.0,4.0,388.0,2.0,4.0,2549.0
3.0,6.0,210.6,3.0,6.0,650.0,2.0,6.0,501.9,2.0,6.0,710.3,2.0,6.0,1529.0,2.0,5.0,3023.0
4.0,2.0,18.8,4.0,1.0,62.7,4.0,1.0,50.8,3.0,1.0,94.2,3.0,1.0,328.2,3.0,1.0,2321.0
4.0,3.0,17.4,4.0,3.0,83.9,4.0,2.0,64.0,3.0,2.0,130.9,3.0,2.0,379.0,3.0,2.0,2888.0
4.0,5.0,40.3,4.0,5.0,140.8,4.0,5.0,77.7,3.0,5.0,134.1,3.0,4.0,410.0,3.0,4.0,3513.0
4.0,6.0,221.0,4.0,6.0,706.5,4.0,6.0,483.2,3.0,6.0,742.8,3.0,6.0,1710.0,3.0,5.0,3714.0
5.0,2.0,76.1,5.0,1.0,216.6,5.0,1.0,127.4,5.0,1.0,118.9,4.0,1.0,336.7,4.0,1.0,1884.0
5.0,3.0,73.6,5.0,3.0,242.0,5.0,2.0,151.8,5.0,2.0,164.7,4.0,2.0,411.3,4.0,2.0,2954.0
5.0,4.0,90.9,5.0,4.0,265.8,5.0,4.0,138.0,5.0,3.0,172.6,4.0,3.0,437.7,4.0,3.0,3250.0
5.0,6.0,337.6,5.0,6.0,1733.0,5.0,6.0,666.6,5.0,6.0,585.5,4.0,6.0,1511.0,4.0,5.0,4333.0
6.0,2.0,619.0,6.0,1.0,1262.0,6.0,1.0,935.2,6.0,1.0,1326.0,6.0,1.0,1830.0,5.0,1.0,2031.0
6.0,3.0,807.4,6.0,3.0,2407.0,6.0,2.0,1160.0,6.0,2.0,2000.0,6.0,2.0,2954.0,5.0,2.0,4193.0
6.0,4.0,698.9,6.0,4.0,2452.0,6.0,4.0,1300.0,6.0,3.0,2203.0,6.0,3.0,3611.0,5.0,3.0,5000.0
6.0,5.0,844.1,6.0,5.0,2708.0,6.0,5.0,1382.0,6.0,5.0,2241.0,6.0,4.0,3513.0,5.0,4.0,4193.0
