1,岸本 隆,岸本 隆.1,2,島崎　丈一朗,島崎　丈一朗.1,3,永田 義紘,永田 義紘.1,4,品川　二千翔,品川　二千翔.1,5,東 潤樹,東 潤樹.1,6,伊藤 尚汰,伊藤 尚汰.1
2.0,3.0,11.1,1.0,3.0,61.7,1.0,2.0,98.0,1.0,2.0,89.8,1.0,2.0,463.2,1.0,2.0,536.3
2.0,4.0,13.1,1.0,4.0,78.6,1.0,4.0,47.8,1.0,3.0,65.3,1.0,3.0,394.9,1.0,3.0,424.6
2.0,5.0,31.6,1.0,5.0,168.9,1.0,5.0,88.7,1.0,5.0,78.9,1.0,4.0,351.3,1.0,4.0,353.8
2.0,6.0,28.2,1.0,6.0,137.4,1.0,6.0,80.8,1.0,6.0,64.7,1.0,6.0,401.2,1.0,5.0,613.8
3.0,2.0,12.6,3.0,1.0,158.5,2.0,1.0,204.3,2.0,1.0,182.1,2.0,1.0,813.0,2.0,1.0,883.5
3.0,4.0,7.9,3.0,4.0,319.1,2.0,4.0,328.0,2.0,3.0,354.6,2.0,3.0,1242.0,2.0,3.0,1364.0
3.0,5.0,22.1,3.0,5.0,461.8,2.0,5.0,494.6,2.0,5.0,415.3,2.0,4.0,1019.0,2.0,4.0,1364.0
3.0,6.0,16.3,3.0,6.0,482.2,2.0,6.0,530.7,2.0,6.0,361.3,2.0,6.0,899.1,2.0,5.0,2038.0
4.0,2.0,14.7,4.0,1.0,236.9,4.0,1.0,93.0,3.0,1.0,116.1,3.0,1.0,551.8,3.0,1.0,629.0
4.0,3.0,10.7,4.0,3.0,349.7,4.0,2.0,211.4,3.0,2.0,285.1,3.0,2.0,1428.0,3.0,2.0,1263.0
4.0,5.0,20.4,4.0,5.0,710.9,4.0,5.0,192.7,3.0,5.0,244.9,3.0,4.0,878.4,3.0,4.0,899.1
4.0,6.0,16.1,4.0,6.0,466.0,4.0,6.0,165.9,3.0,6.0,195.2,3.0,6.0,955.3,3.0,5.0,1679.0
5.0,2.0,61.1,5.0,1.0,488.3,5.0,1.0,230.9,5.0,1.0,128.6,4.0,1.0,402.2,4.0,1.0,440.5
5.0,3.0,46.9,5.0,3.0,701.1,5.0,2.0,572.5,5.0,2.0,254.7,4.0,2.0,775.9,4.0,2.0,1123.0
5.0,4.0,51.3,5.0,4.0,961.3,5.0,4.0,334.4,5.0,3.0,221.8,4.0,3.0,800.3,4.0,3.0,955.3
5.0,6.0,69.7,5.0,6.0,679.3,5.0,6.0,422.2,5.0,6.0,164.8,4.0,6.0,570.3,4.0,5.0,1306.0
6.0,2.0,65.3,6.0,1.0,491.5,6.0,1.0,282.5,6.0,1.0,140.8,6.0,1.0,745.6,5.0,1.0,1273.0
6.0,3.0,45.4,6.0,3.0,849.2,6.0,2.0,579.0,6.0,2.0,325.9,6.0,2.0,1415.0,5.0,2.0,2426.0
6.0,4.0,45.8,6.0,4.0,849.2,6.0,4.0,353.8,6.0,3.0,252.2,6.0,3.0,1068.0,5.0,3.0,1756.0
6.0,5.0,90.2,6.0,5.0,904.4,6.0,5.0,523.4,6.0,5.0,243.0,6.0,4.0,853.9,5.0,4.0,1528.0
