1,竹間 隆晟,竹間 隆晟.1,2,仲本 舜,仲本 舜.1,3,東 潤樹,東 潤樹.1,4,佃 來紀,佃 來紀.1,5,岸本 隆,岸本 隆.1,6,日高　龍之介,日高　龍之介.1
2.0,3.0,14.4,1.0,3.0,226.4,1.0,2.0,153.5,1.0,2.0,150.6,1.0,2.0,129.9,1.0,2.0,1948.0
2.0,4.0,14.6,1.0,4.0,209.8,1.0,4.0,89.6,1.0,3.0,163.6,1.0,3.0,82.9,1.0,3.0,3216.0
2.0,5.0,16.4,1.0,5.0,267.0,1.0,5.0,74.2,1.0,5.0,88.3,1.0,4.0,84.0,1.0,4.0,2980.0
2.0,6.0,282.6,1.0,6.0,777.9,1.0,6.0,690.4,1.0,6.0,593.4,1.0,6.0,525.6,1.0,5.0,2895.0
3.0,2.0,13.1,3.0,1.0,508.5,2.0,1.0,412.3,2.0,1.0,402.4,2.0,1.0,368.7,2.0,1.0,3093.0
3.0,4.0,7.0,3.0,4.0,1028.0,2.0,4.0,780.9,2.0,3.0,1161.0,2.0,3.0,632.3,2.0,3.0,5629.0
3.0,5.0,6.5,3.0,5.0,1125.0,2.0,5.0,685.7,2.0,5.0,766.1,2.0,4.0,692.8,2.0,4.0,5790.0
3.0,6.0,207.6,3.0,6.0,2874.0,2.0,6.0,2190.0,2.0,6.0,2342.0,2.0,6.0,2047.0,2.0,5.0,5790.0
4.0,2.0,13.8,4.0,1.0,520.9,4.0,1.0,260.8,3.0,1.0,422.1,3.0,1.0,236.0,3.0,1.0,5552.0
4.0,3.0,9.7,4.0,3.0,1132.0,4.0,2.0,703.6,3.0,2.0,1013.0,3.0,2.0,810.6,3.0,2.0,6141.0
4.0,5.0,8.4,4.0,5.0,1239.0,4.0,5.0,374.5,3.0,5.0,549.9,3.0,4.0,549.1,3.0,4.0,5790.0
4.0,6.0,179.4,4.0,6.0,2456.0,4.0,6.0,2342.0,3.0,6.0,2814.0,3.0,6.0,2581.0,3.0,5.0,6537.0
5.0,2.0,16.4,5.0,1.0,692.8,5.0,1.0,219.0,5.0,1.0,138.5,4.0,1.0,174.5,4.0,1.0,3935.0
5.0,3.0,10.5,5.0,3.0,1250.0,5.0,2.0,706.1,5.0,2.0,407.3,4.0,2.0,589.9,4.0,2.0,5790.0
5.0,4.0,11.1,5.0,4.0,1402.0,5.0,4.0,456.4,5.0,3.0,408.1,4.0,3.0,474.5,4.0,3.0,6537.0
5.0,6.0,157.7,5.0,6.0,3787.0,5.0,6.0,2155.0,5.0,6.0,1077.0,4.0,6.0,1512.0,4.0,5.0,5552.0
6.0,2.0,512.3,6.0,1.0,2289.0,6.0,1.0,2426.0,6.0,1.0,2036.0,6.0,1.0,1885.0,5.0,1.0,4358.0
6.0,3.0,600.4,6.0,3.0,4712.0,6.0,2.0,3002.0,6.0,2.0,2980.0,6.0,2.0,3618.0,5.0,2.0,7505.0
6.0,4.0,538.9,6.0,4.0,4405.0,6.0,4.0,3494.0,6.0,3.0,3973.0,6.0,3.0,4554.0,5.0,3.0,6869.0
6.0,5.0,537.5,6.0,5.0,4825.0,6.0,5.0,3464.0,6.0,5.0,2795.0,6.0,4.0,3555.0,5.0,4.0,6433.0
