1,河村 了,河村 了.1,2,大池 佑来,大池 佑来.1,3,中村 泰平,中村 泰平.1,4,若狭　奈美子,若狭　奈美子.1,5,室田 泰史,室田 泰史.1,6,桐本 康臣,桐本 康臣.1
2.0,3.0,6.3,1.0,3.0,27.2,1.0,2.0,64.3,1.0,2.0,95.5,1.0,2.0,253.4,1.0,2.0,284.8
2.0,4.0,7.1,1.0,4.0,29.6,1.0,4.0,75.3,1.0,3.0,176.5,1.0,3.0,382.0,1.0,3.0,788.6
2.0,5.0,16.3,1.0,5.0,60.7,1.0,5.0,106.9,1.0,5.0,134.8,1.0,4.0,384.4,1.0,4.0,657.1
2.0,6.0,16.5,1.0,6.0,45.2,1.0,6.0,124.4,1.0,6.0,151.4,1.0,6.0,303.3,1.0,5.0,799.5
3.0,2.0,10.6,3.0,1.0,96.0,2.0,1.0,115.5,2.0,1.0,161.6,2.0,1.0,423.0,2.0,1.0,386.1
3.0,4.0,14.8,3.0,4.0,202.3,2.0,4.0,209.6,2.0,3.0,413.5,2.0,3.0,857.3,2.0,3.0,1321.0
3.0,5.0,24.7,3.0,5.0,422.8,2.0,5.0,385.0,2.0,5.0,325.0,2.0,4.0,842.5,2.0,4.0,734.3
3.0,6.0,30.4,3.0,6.0,325.0,2.0,6.0,333.1,2.0,6.0,270.3,2.0,6.0,586.4,2.0,5.0,1252.0
4.0,2.0,14.1,4.0,1.0,116.6,4.0,1.0,222.5,3.0,1.0,389.4,3.0,1.0,739.4,3.0,1.0,1298.0
4.0,3.0,22.1,4.0,3.0,261.6,4.0,2.0,327.8,3.0,2.0,530.5,3.0,2.0,1082.0,3.0,2.0,1609.0
4.0,5.0,32.6,4.0,5.0,384.8,4.0,5.0,457.0,3.0,5.0,659.2,3.0,4.0,1339.0,3.0,4.0,1765.0
4.0,6.0,33.1,4.0,6.0,239.4,4.0,6.0,452.8,3.0,6.0,615.4,3.0,6.0,1103.0,3.0,5.0,2078.0
5.0,2.0,44.8,5.0,1.0,303.3,5.0,1.0,381.7,5.0,1.0,206.7,4.0,1.0,569.8,4.0,1.0,846.4
5.0,3.0,60.5,5.0,3.0,672.4,5.0,2.0,588.3,5.0,2.0,287.8,4.0,2.0,759.8,4.0,2.0,729.2
5.0,4.0,73.9,5.0,4.0,658.2,5.0,4.0,645.4,5.0,3.0,513.2,4.0,3.0,1187.0,4.0,3.0,1695.0
5.0,6.0,78.2,5.0,6.0,580.5,5.0,6.0,622.9,5.0,6.0,233.0,4.0,6.0,595.8,4.0,5.0,1071.0
6.0,2.0,59.7,6.0,1.0,197.6,6.0,1.0,473.4,6.0,1.0,291.0,6.0,1.0,590.2,5.0,1.0,1099.0
6.0,3.0,99.5,6.0,3.0,641.8,6.0,2.0,681.5,6.0,2.0,318.8,6.0,2.0,742.0,5.0,2.0,1255.0
6.0,4.0,90.5,6.0,4.0,410.2,6.0,4.0,820.7,6.0,3.0,664.0,6.0,3.0,1177.0,5.0,3.0,1856.0
6.0,5.0,124.3,6.0,5.0,722.6,6.0,5.0,924.7,6.0,5.0,332.2,6.0,4.0,838.0,5.0,4.0,1200.0
