1,向井 美鈴,向井 美鈴.1,2,喜多　那由夏,喜多　那由夏.1,3,森 晋太郎,森 晋太郎.1,4,浦田 信義,浦田 信義.1,5,山崎 裕司,山崎 裕司.1,6,大場 敏,大場 敏.1
2.0,3.0,12.3,1.0,3.0,119.7,1.0,2.0,33.8,1.0,2.0,412.4,1.0,2.0,245.6,1.0,2.0,276.0
2.0,4.0,34.3,1.0,4.0,260.2,1.0,4.0,40.0,1.0,3.0,239.3,1.0,3.0,116.5,1.0,3.0,193.7
2.0,5.0,23.6,1.0,5.0,190.8,1.0,5.0,21.2,1.0,5.0,288.5,1.0,4.0,247.7,1.0,4.0,430.2
2.0,6.0,31.1,1.0,6.0,175.7,1.0,6.0,27.3,1.0,6.0,249.5,1.0,6.0,133.8,1.0,5.0,282.1
3.0,2.0,9.7,3.0,1.0,143.5,2.0,1.0,91.3,2.0,1.0,738.1,2.0,1.0,543.6,2.0,1.0,452.4
3.0,4.0,17.7,3.0,4.0,492.1,2.0,4.0,178.6,2.0,3.0,980.7,2.0,3.0,664.6,2.0,3.0,586.8
3.0,5.0,8.9,3.0,5.0,355.9,2.0,5.0,133.3,2.0,5.0,1131.0,2.0,4.0,1286.0,2.0,4.0,1274.0
3.0,6.0,12.5,3.0,6.0,323.9,2.0,6.0,128.4,2.0,6.0,779.1,2.0,6.0,762.2,2.0,5.0,1492.0
4.0,2.0,48.9,4.0,1.0,577.1,4.0,1.0,72.8,3.0,1.0,262.6,3.0,1.0,152.1,3.0,1.0,249.9
4.0,3.0,36.2,4.0,3.0,960.6,4.0,2.0,158.1,3.0,2.0,560.9,3.0,2.0,412.4,3.0,2.0,467.4
4.0,5.0,52.9,4.0,5.0,1219.0,4.0,5.0,72.4,3.0,5.0,286.2,3.0,4.0,308.2,3.0,4.0,746.0
4.0,6.0,60.5,4.0,6.0,987.6,4.0,6.0,83.6,3.0,6.0,305.5,3.0,6.0,179.1,3.0,5.0,369.0
5.0,2.0,40.2,5.0,1.0,413.7,5.0,1.0,43.9,5.0,1.0,414.9,4.0,1.0,472.2,4.0,1.0,783.5
5.0,3.0,22.7,5.0,3.0,558.7,5.0,2.0,117.0,5.0,2.0,910.7,4.0,2.0,1008.0,4.0,2.0,1087.0
5.0,4.0,71.0,5.0,4.0,1348.0,5.0,4.0,60.0,5.0,3.0,508.1,4.0,3.0,490.3,4.0,3.0,980.7
5.0,6.0,34.3,5.0,6.0,934.9,5.0,6.0,50.4,5.0,6.0,398.4,4.0,6.0,519.4,4.0,5.0,947.6
6.0,2.0,61.5,6.0,1.0,360.5,6.0,1.0,66.0,6.0,1.0,459.8,6.0,1.0,228.0,5.0,1.0,379.0
6.0,3.0,37.5,6.0,3.0,549.9,6.0,2.0,167.7,6.0,2.0,796.8,6.0,2.0,730.4,5.0,2.0,1113.0
6.0,4.0,94.8,6.0,4.0,1416.0,6.0,4.0,136.4,6.0,3.0,509.9,6.0,3.0,308.9,5.0,3.0,449.5
6.0,5.0,53.9,6.0,5.0,1286.0,6.0,5.0,87.0,6.0,5.0,517.5,6.0,4.0,567.8,5.0,4.0,779.1
