1,枝尾 賢,枝尾 賢.1,2,清水 敦揮,清水 敦揮.1,3,市橋 卓士,市橋 卓士.1,4,三角 哲男,三角 哲男.1,5,小坂 尚哉,小坂 尚哉.1,6,水摩 敦,水摩 敦.1
2.0,3.0,9.2,1.0,3.0,30.6,1.0,2.0,71.3,1.0,2.0,107.7,1.0,2.0,114.3,1.0,2.0,334.2
2.0,4.0,10.6,1.0,4.0,29.3,1.0,4.0,62.2,1.0,3.0,178.0,1.0,3.0,157.4,1.0,3.0,515.7
2.0,5.0,12.0,1.0,5.0,32.5,1.0,5.0,59.2,1.0,5.0,104.4,1.0,4.0,196.9,1.0,4.0,621.2
2.0,6.0,25.7,1.0,6.0,54.1,1.0,6.0,109.6,1.0,6.0,143.9,1.0,6.0,182.3,1.0,5.0,543.3
3.0,2.0,13.2,3.0,1.0,92.4,2.0,1.0,123.4,2.0,1.0,157.0,2.0,1.0,192.3,2.0,1.0,481.6
3.0,4.0,14.8,3.0,4.0,165.0,2.0,4.0,196.4,2.0,3.0,339.0,2.0,3.0,361.7,2.0,3.0,1024.0
3.0,5.0,16.0,3.0,5.0,168.9,2.0,5.0,199.1,2.0,5.0,198.5,2.0,4.0,364.5,2.0,4.0,878.1
3.0,6.0,33.4,3.0,6.0,257.5,2.0,6.0,286.9,2.0,6.0,254.7,2.0,6.0,400.1,2.0,5.0,976.1
4.0,2.0,23.8,4.0,1.0,101.8,4.0,1.0,157.6,3.0,1.0,278.6,3.0,1.0,263.5,3.0,1.0,820.0
4.0,3.0,33.1,4.0,3.0,207.4,4.0,2.0,236.9,3.0,2.0,396.0,3.0,2.0,408.9,3.0,2.0,1192.0
4.0,5.0,35.3,4.0,5.0,173.9,4.0,5.0,171.5,3.0,5.0,318.5,3.0,4.0,504.5,3.0,4.0,1254.0
4.0,6.0,49.9,4.0,6.0,240.0,4.0,6.0,261.7,3.0,6.0,456.0,3.0,6.0,526.5,3.0,5.0,1308.0
5.0,2.0,26.9,5.0,1.0,118.9,5.0,1.0,139.6,5.0,1.0,130.6,4.0,1.0,296.4,4.0,1.0,888.7
5.0,3.0,32.1,5.0,3.0,250.6,5.0,2.0,224.4,5.0,2.0,171.9,4.0,2.0,345.6,4.0,2.0,882.2
5.0,4.0,51.1,5.0,4.0,243.4,5.0,4.0,229.1,5.0,3.0,284.4,4.0,3.0,526.0,4.0,3.0,1292.0
5.0,6.0,53.7,5.0,6.0,270.5,5.0,6.0,243.4,5.0,6.0,146.7,4.0,6.0,358.9,4.0,5.0,1027.0
6.0,2.0,91.8,6.0,1.0,270.1,6.0,1.0,436.4,6.0,1.0,322.0,6.0,1.0,341.0,5.0,1.0,714.3
6.0,3.0,110.2,6.0,3.0,581.8,6.0,2.0,663.1,6.0,2.0,421.2,6.0,2.0,451.3,5.0,2.0,968.1
6.0,4.0,132.4,6.0,4.0,521.1,6.0,4.0,588.3,6.0,3.0,625.3,6.0,3.0,561.3,5.0,3.0,1168.0
6.0,5.0,123.6,6.0,5.0,462.4,6.0,5.0,536.9,6.0,5.0,303.4,6.0,4.0,517.4,5.0,4.0,944.2
