1,廣瀬 真也,廣瀬 真也.1,2,中嶋 達也,中嶋 達也.1,3,水摩 敦,水摩 敦.1,4,山戸 信二,山戸 信二.1,5,竹田 辰也,竹田 辰也.1,6,杉田 篤光,杉田 篤光.1
2.0,3.0,15.7,1.0,3.0,85.1,1.0,2.0,43.9,1.0,2.0,478.0,1.0,2.0,92.2,1.0,2.0,906.2
2.0,4.0,44.8,1.0,4.0,175.1,1.0,4.0,57.1,1.0,3.0,329.5,1.0,3.0,39.8,1.0,3.0,610.0
2.0,5.0,21.7,1.0,5.0,100.6,1.0,5.0,15.5,1.0,5.0,293.7,1.0,4.0,152.4,1.0,4.0,1458.0
2.0,6.0,80.5,1.0,6.0,317.7,1.0,6.0,40.7,1.0,6.0,490.6,1.0,6.0,67.8,1.0,5.0,596.4
3.0,2.0,10.5,3.0,1.0,189.2,2.0,1.0,116.2,2.0,1.0,717.9,2.0,1.0,186.7,2.0,1.0,1403.0
3.0,4.0,22.2,3.0,4.0,403.1,2.0,4.0,241.1,2.0,3.0,872.3,2.0,3.0,257.6,2.0,3.0,1944.0
3.0,5.0,5.7,3.0,5.0,225.8,2.0,5.0,125.7,2.0,5.0,672.7,2.0,4.0,497.1,2.0,4.0,1876.0
3.0,6.0,14.1,3.0,6.0,661.9,2.0,6.0,294.4,2.0,6.0,998.2,2.0,6.0,387.2,2.0,5.0,1736.0
4.0,2.0,75.5,4.0,1.0,481.7,4.0,1.0,132.9,3.0,1.0,389.7,3.0,1.0,49.6,3.0,1.0,766.6
4.0,3.0,57.7,4.0,3.0,641.5,4.0,2.0,254.8,3.0,2.0,755.7,3.0,2.0,145.7,3.0,2.0,1857.0
4.0,5.0,69.1,4.0,5.0,557.2,4.0,5.0,105.6,3.0,5.0,347.6,3.0,4.0,181.5,3.0,4.0,1769.0
4.0,6.0,154.3,4.0,6.0,850.4,4.0,6.0,187.6,3.0,6.0,626.4,3.0,6.0,89.2,3.0,5.0,593.5
5.0,2.0,24.7,5.0,1.0,197.0,5.0,1.0,25.4,5.0,1.0,327.5,4.0,1.0,346.6,4.0,1.0,2196.0
5.0,3.0,11.6,5.0,3.0,318.5,5.0,2.0,79.0,5.0,2.0,506.5,4.0,2.0,514.2,4.0,2.0,2062.0
5.0,4.0,56.4,5.0,4.0,525.1,5.0,4.0,71.4,5.0,3.0,392.5,4.0,3.0,358.6,4.0,3.0,2183.0
5.0,6.0,32.5,5.0,6.0,656.1,5.0,6.0,46.2,5.0,6.0,442.3,4.0,6.0,429.6,4.0,5.0,1965.0
6.0,2.0,195.5,6.0,1.0,815.1,6.0,1.0,170.5,6.0,1.0,935.7,6.0,1.0,174.9,5.0,1.0,600.2
6.0,3.0,80.6,6.0,3.0,1257.0,6.0,2.0,414.8,6.0,2.0,1185.0,6.0,2.0,401.4,5.0,2.0,1319.0
6.0,4.0,296.0,6.0,4.0,1305.0,6.0,4.0,347.6,6.0,3.0,1200.0,6.0,3.0,173.4,5.0,3.0,562.2
6.0,5.0,113.6,6.0,5.0,1145.0,6.0,5.0,146.9,6.0,5.0,797.7,6.0,4.0,505.2,5.0,4.0,1728.0
