1,寺田 千恵,寺田 千恵.1,2,平田　さやか,平田　さやか.1,3,赤澤 文香,赤澤 文香.1,4,戸敷 晃美,戸敷 晃美.1,5,中北 涼,中北 涼.1,6,井上 未都,井上 未都.1
2.0,3.0,8.2,1.0,3.0,56.7,1.0,2.0,143.5,1.0,2.0,39.1,1.0,2.0,469.7,1.0,2.0,171.5
2.0,4.0,5.3,1.0,4.0,38.6,1.0,4.0,137.4,1.0,3.0,73.6,1.0,3.0,742.9,1.0,3.0,358.3
2.0,5.0,27.2,1.0,5.0,145.2,1.0,5.0,292.4,1.0,5.0,80.5,1.0,4.0,439.3,1.0,4.0,197.6
2.0,6.0,17.4,1.0,6.0,104.9,1.0,6.0,251.1,1.0,6.0,58.7,1.0,6.0,753.9,1.0,5.0,627.0
3.0,2.0,12.7,3.0,1.0,234.8,2.0,1.0,283.2,2.0,1.0,75.0,2.0,1.0,765.2,2.0,1.0,309.6
3.0,4.0,13.6,3.0,4.0,394.5,2.0,4.0,504.7,2.0,3.0,261.4,2.0,3.0,1705.0,2.0,3.0,867.4
3.0,5.0,45.3,3.0,5.0,803.5,2.0,5.0,991.4,2.0,5.0,242.1,2.0,4.0,789.0,2.0,4.0,436.8
3.0,6.0,34.3,3.0,6.0,674.0,2.0,6.0,954.2,2.0,6.0,179.9,2.0,6.0,1496.0,2.0,5.0,1433.0
4.0,2.0,8.0,4.0,1.0,90.9,4.0,1.0,261.2,3.0,1.0,220.9,3.0,1.0,1231.0,3.0,1.0,860.1
4.0,3.0,14.8,4.0,3.0,300.5,4.0,2.0,461.9,3.0,2.0,428.2,3.0,2.0,2609.0,3.0,2.0,1440.0
4.0,5.0,29.9,4.0,5.0,367.4,4.0,5.0,865.0,3.0,5.0,843.5,3.0,4.0,2482.0,3.0,4.0,1192.0
4.0,6.0,17.4,4.0,6.0,252.3,4.0,6.0,604.6,3.0,6.0,616.8,3.0,6.0,3248.0,3.0,5.0,2091.0
5.0,2.0,71.5,5.0,1.0,445.7,5.0,1.0,728.7,5.0,1.0,145.9,4.0,1.0,493.3,4.0,1.0,299.9
5.0,3.0,108.0,5.0,3.0,1014.0,5.0,2.0,1236.0,5.0,2.0,243.3,4.0,2.0,765.2,4.0,2.0,443.8
5.0,4.0,80.9,5.0,4.0,577.2,5.0,4.0,1387.0,5.0,3.0,604.6,4.0,3.0,1785.0,4.0,3.0,954.2
5.0,6.0,110.7,5.0,6.0,954.2,5.0,6.0,1715.0,5.0,6.0,233.2,4.0,6.0,988.1,4.0,5.0,1067.0
6.0,2.0,51.3,6.0,1.0,376.9,6.0,1.0,820.8,6.0,1.0,125.4,6.0,1.0,1557.0,5.0,1.0,1489.0
6.0,3.0,87.1,6.0,3.0,1094.0,6.0,2.0,1316.0,6.0,2.0,196.1,6.0,2.0,1982.0,5.0,2.0,1957.0
6.0,4.0,53.6,6.0,4.0,594.0,6.0,4.0,1267.0,6.0,3.0,474.1,6.0,3.0,2278.0,5.0,3.0,2348.0
6.0,5.0,151.8,6.0,5.0,1557.0,6.0,5.0,2423.0,6.0,5.0,289.1,6.0,4.0,1526.0,5.0,4.0,1511.0
