1,北村 寧々,北村 寧々.1,2,間庭 菜摘,間庭 菜摘.1,3,大橋　栄里佳,大橋　栄里佳.1,4,金田 幸子,金田 幸子.1,5,山川　美由紀,山川　美由紀.1,6,中谷 朋子,中谷 朋子.1
2.0,3.0,79.5,1.0,3.0,181.8,1.0,2.0,210.0,1.0,2.0,81.1,1.0,2.0,92.0,1.0,2.0,295.6
2.0,4.0,56.4,1.0,4.0,100.9,1.0,4.0,142.1,1.0,3.0,120.2,1.0,3.0,77.6,1.0,3.0,234.7
2.0,5.0,72.7,1.0,5.0,140.8,1.0,5.0,108.2,1.0,5.0,47.7,1.0,4.0,43.8,1.0,4.0,147.8
2.0,6.0,97.1,1.0,6.0,209.9,1.0,6.0,160.0,1.0,6.0,67.9,1.0,6.0,36.7,1.0,5.0,103.4
3.0,2.0,71.8,3.0,1.0,236.3,2.0,1.0,305.2,2.0,1.0,84.0,2.0,1.0,169.5,2.0,1.0,388.8
3.0,4.0,39.9,3.0,4.0,175.7,2.0,4.0,238.5,2.0,3.0,119.7,2.0,3.0,273.4,2.0,3.0,578.8
3.0,5.0,32.2,3.0,5.0,310.7,2.0,5.0,361.7,2.0,5.0,64.5,2.0,4.0,115.9,2.0,4.0,208.1
3.0,6.0,51.9,3.0,6.0,332.9,2.0,6.0,373.8,2.0,6.0,68.2,2.0,6.0,146.5,2.0,5.0,301.9
4.0,2.0,51.4,4.0,1.0,85.4,4.0,1.0,187.8,3.0,1.0,164.8,3.0,1.0,132.3,3.0,1.0,362.9
4.0,3.0,48.9,4.0,3.0,121.7,4.0,2.0,196.4,3.0,2.0,150.5,3.0,2.0,257.0,3.0,2.0,596.6
4.0,5.0,23.4,4.0,5.0,82.6,4.0,5.0,172.4,3.0,5.0,128.5,3.0,4.0,156.4,3.0,4.0,322.6
4.0,6.0,33.0,4.0,6.0,92.9,4.0,6.0,191.8,3.0,6.0,132.6,3.0,6.0,126.2,3.0,5.0,262.1
5.0,2.0,47.4,5.0,1.0,184.0,5.0,1.0,148.8,5.0,1.0,54.1,4.0,1.0,62.1,4.0,1.0,165.9
5.0,3.0,33.8,5.0,3.0,283.2,5.0,2.0,257.9,5.0,2.0,67.6,4.0,2.0,88.7,4.0,2.0,180.0
5.0,4.0,22.1,5.0,4.0,122.8,5.0,4.0,176.9,5.0,3.0,118.7,4.0,3.0,127.0,4.0,3.0,271.6
5.0,6.0,19.2,5.0,6.0,190.2,5.0,6.0,151.6,5.0,6.0,36.1,4.0,6.0,39.7,4.0,5.0,83.5
6.0,2.0,100.2,6.0,1.0,331.2,6.0,1.0,265.7,6.0,1.0,103.0,6.0,1.0,39.1,5.0,1.0,85.1
6.0,3.0,73.9,6.0,3.0,489.3,6.0,2.0,377.9,6.0,2.0,94.9,6.0,2.0,72.2,5.0,2.0,162.6
6.0,4.0,49.8,6.0,4.0,164.4,6.0,4.0,250.3,6.0,3.0,162.1,6.0,3.0,72.8,5.0,3.0,157.0
6.0,5.0,36.6,6.0,5.0,256.0,6.0,5.0,215.4,6.0,5.0,56.8,6.0,4.0,29.7,5.0,4.0,61.9
