1,鈴木　祐美子,鈴木　祐美子.1,2,白石 有美,白石 有美.1,3,村上 奈穂,村上 奈穂.1,4,赤澤 文香,赤澤 文香.1,5,出口　舞有子,出口　舞有子.1,6,中谷 朋子,中谷 朋子.1
2.0,3.0,95.9,1.0,3.0,203.6,1.0,2.0,231.7,1.0,2.0,394.4,1.0,2.0,183.6,1.0,2.0,33.8
2.0,4.0,127.0,1.0,4.0,292.8,1.0,4.0,162.8,1.0,3.0,221.1,1.0,3.0,142.3,1.0,3.0,21.0
2.0,5.0,78.0,1.0,5.0,147.1,1.0,5.0,116.6,1.0,5.0,141.6,1.0,4.0,102.7,1.0,4.0,20.0
2.0,6.0,77.1,1.0,6.0,144.9,1.0,6.0,110.9,1.0,6.0,125.8,1.0,6.0,52.9,1.0,5.0,14.1
3.0,2.0,115.1,3.0,1.0,269.3,2.0,1.0,315.2,2.0,1.0,575.3,2.0,1.0,272.6,2.0,1.0,65.8
3.0,4.0,85.1,3.0,4.0,375.5,2.0,4.0,409.4,2.0,3.0,695.8,2.0,3.0,575.3,2.0,3.0,94.9
3.0,5.0,61.5,3.0,5.0,252.1,2.0,5.0,268.4,2.0,5.0,479.9,2.0,4.0,475.5,2.0,4.0,108.0
3.0,6.0,54.3,3.0,6.0,309.0,2.0,6.0,321.7,2.0,6.0,493.5,2.0,6.0,240.6,2.0,5.0,75.7
4.0,2.0,188.8,4.0,1.0,437.5,4.0,1.0,157.1,3.0,1.0,231.7,3.0,1.0,194.0,3.0,1.0,35.9
4.0,3.0,117.3,4.0,3.0,465.6,4.0,2.0,353.0,3.0,2.0,489.6,3.0,2.0,498.2,3.0,2.0,95.3
4.0,5.0,55.7,4.0,5.0,327.1,4.0,5.0,79.4,3.0,5.0,145.1,3.0,4.0,139.8,3.0,4.0,48.7
4.0,6.0,57.4,4.0,6.0,367.5,4.0,6.0,104.9,3.0,6.0,166.4,3.0,6.0,122.4,3.0,5.0,44.0
5.0,2.0,90.6,5.0,1.0,181.9,5.0,1.0,123.6,5.0,1.0,141.5,4.0,1.0,132.8,4.0,1.0,42.8
5.0,3.0,75.6,5.0,3.0,289.5,5.0,2.0,248.7,5.0,2.0,340.3,4.0,2.0,395.4,4.0,2.0,136.0
5.0,4.0,56.9,5.0,4.0,326.4,5.0,4.0,86.7,5.0,3.0,150.4,4.0,3.0,148.2,4.0,3.0,57.2
5.0,6.0,29.6,5.0,6.0,162.8,5.0,6.0,84.8,5.0,6.0,85.8,4.0,6.0,79.9,4.0,5.0,39.5
6.0,2.0,54.0,6.0,1.0,140.7,6.0,1.0,95.3,6.0,1.0,121.1,6.0,1.0,45.8,5.0,1.0,26.9
6.0,3.0,38.3,6.0,3.0,244.0,6.0,2.0,238.6,6.0,2.0,348.6,6.0,2.0,164.0,5.0,2.0,91.4
6.0,4.0,33.8,6.0,4.0,287.1,6.0,4.0,96.4,6.0,3.0,164.0,6.0,3.0,104.1,5.0,3.0,56.7
6.0,5.0,20.2,6.0,5.0,159.5,6.0,5.0,74.9,6.0,5.0,95.5,6.0,4.0,61.4,5.0,4.0,37.6
