1,平田　さやか,平田　さやか.1,2,藤本　紗弥香,藤本　紗弥香.1,3,稲生 夏季,稲生 夏季.1,4,犬童 千秋,犬童 千秋.1,5,山川　美由紀,山川　美由紀.1,6,細川 裕子,細川 裕子.1
2.0,3.0,10.3,1.0,3.0,42.1,1.0,2.0,91.4,1.0,2.0,324.2,1.0,2.0,255.1,1.0,2.0,94.2
2.0,4.0,28.6,1.0,4.0,108.5,1.0,4.0,174.7,1.0,3.0,408.1,1.0,3.0,222.9,1.0,3.0,119.3
2.0,5.0,16.8,1.0,5.0,69.0,1.0,5.0,98.6,1.0,5.0,203.0,1.0,4.0,301.2,1.0,4.0,219.9
2.0,6.0,8.5,1.0,6.0,34.5,1.0,6.0,66.6,1.0,6.0,172.7,1.0,6.0,106.1,1.0,5.0,95.9
3.0,2.0,15.0,3.0,1.0,110.4,2.0,1.0,154.8,2.0,1.0,512.3,2.0,1.0,458.1,2.0,1.0,178.2
3.0,4.0,33.7,3.0,4.0,453.1,2.0,4.0,561.4,2.0,3.0,1232.0,2.0,3.0,1163.0,2.0,3.0,476.5
3.0,5.0,19.5,3.0,5.0,342.2,2.0,5.0,364.5,2.0,5.0,756.8,2.0,4.0,1124.0,2.0,4.0,898.9
3.0,6.0,11.7,3.0,6.0,166.3,2.0,6.0,200.1,2.0,6.0,575.7,2.0,6.0,545.4,2.0,5.0,453.9
4.0,2.0,54.4,4.0,1.0,352.6,4.0,1.0,347.2,3.0,1.0,569.7,3.0,1.0,379.8,3.0,1.0,269.1
4.0,3.0,58.2,4.0,3.0,678.4,4.0,2.0,730.2,3.0,2.0,1223.0,3.0,2.0,1144.0,3.0,2.0,573.0
4.0,5.0,48.1,4.0,5.0,666.6,4.0,5.0,453.5,3.0,5.0,872.1,3.0,4.0,1073.0,3.0,4.0,1075.0
4.0,6.0,36.5,4.0,6.0,426.3,4.0,6.0,351.9,3.0,6.0,703.3,3.0,6.0,530.9,3.0,5.0,577.0
5.0,2.0,40.5,5.0,1.0,227.7,5.0,1.0,208.4,5.0,1.0,222.6,4.0,1.0,390.5,4.0,1.0,440.7
5.0,3.0,44.1,5.0,3.0,536.6,5.0,2.0,475.1,5.0,2.0,536.0,4.0,2.0,864.5,4.0,2.0,1004.0
5.0,4.0,70.5,5.0,4.0,706.3,5.0,4.0,500.0,5.0,3.0,691.6,4.0,3.0,912.0,4.0,3.0,1119.0
5.0,6.0,23.1,5.0,6.0,277.7,5.0,6.0,222.8,5.0,6.0,180.4,4.0,6.0,323.1,4.0,5.0,467.1
6.0,2.0,15.2,6.0,1.0,88.4,6.0,1.0,127.3,6.0,1.0,206.4,6.0,1.0,130.5,5.0,1.0,151.9
6.0,3.0,18.6,6.0,3.0,207.2,6.0,2.0,247.5,6.0,2.0,493.5,6.0,2.0,384.5,5.0,2.0,498.4
6.0,4.0,47.0,6.0,4.0,448.2,6.0,4.0,421.3,6.0,3.0,684.0,6.0,3.0,390.8,5.0,3.0,511.8
6.0,5.0,22.6,6.0,5.0,249.6,6.0,5.0,239.1,6.0,5.0,216.9,6.0,4.0,297.1,5.0,4.0,378.9
