1,砂長 知輝,砂長 知輝.1,2,上原　健次郎,上原　健次郎.1,3,水谷 理人,水谷 理人.1,4,山本　稔太朗,山本　稔太朗.1,5,一色 凌雅,一色 凌雅.1,6,加藤 優弥,加藤 優弥.1
2.0,3.0,8.2,1.0,3.0,83.1,1.0,2.0,30.9,1.0,2.0,335.0,1.0,2.0,416.9,1.0,2.0,317.2
2.0,4.0,20.7,1.0,4.0,178.3,1.0,4.0,27.8,1.0,3.0,262.5,1.0,3.0,308.6,1.0,3.0,172.1
2.0,5.0,28.2,1.0,5.0,224.5,1.0,5.0,34.7,1.0,5.0,416.2,1.0,4.0,604.1,1.0,4.0,530.6
2.0,6.0,26.6,1.0,6.0,181.0,1.0,6.0,22.3,1.0,6.0,308.4,1.0,6.0,482.6,1.0,5.0,805.8
3.0,2.0,5.7,3.0,1.0,143.6,2.0,1.0,87.8,2.0,1.0,575.7,2.0,1.0,860.8,2.0,1.0,562.1
3.0,4.0,8.7,3.0,4.0,437.5,2.0,4.0,239.4,2.0,3.0,810.1,2.0,3.0,1661.0,2.0,3.0,830.9
3.0,5.0,12.7,3.0,5.0,561.4,2.0,5.0,299.6,2.0,5.0,1487.0,2.0,4.0,2202.0,2.0,4.0,1216.0
3.0,6.0,9.2,3.0,6.0,397.6,2.0,6.0,177.0,2.0,6.0,1117.0,2.0,6.0,2129.0,2.0,5.0,1751.0
4.0,2.0,37.5,4.0,1.0,487.3,4.0,1.0,69.0,3.0,1.0,328.5,3.0,1.0,427.6,3.0,1.0,230.1
4.0,3.0,28.5,4.0,3.0,846.4,4.0,2.0,193.3,3.0,2.0,794.5,3.0,2.0,1001.0,3.0,2.0,621.4
4.0,5.0,60.6,4.0,5.0,1603.0,4.0,5.0,175.7,3.0,5.0,673.1,3.0,4.0,1226.0,3.0,4.0,735.3
4.0,6.0,51.4,4.0,6.0,1010.0,4.0,6.0,118.9,3.0,6.0,487.3,3.0,6.0,837.0,3.0,5.0,1219.0
5.0,2.0,57.1,5.0,1.0,657.5,5.0,1.0,110.0,5.0,1.0,643.5,4.0,1.0,1203.0,4.0,1.0,924.0
5.0,3.0,40.3,5.0,3.0,1181.0,5.0,2.0,289.5,5.0,2.0,1246.0,4.0,2.0,1914.0,4.0,2.0,1751.0
5.0,4.0,92.1,5.0,4.0,1882.0,5.0,4.0,248.0,5.0,3.0,1098.0,4.0,3.0,1738.0,4.0,3.0,1229.0
5.0,6.0,75.0,5.0,6.0,1692.0,5.0,6.0,183.0,5.0,6.0,805.8,4.0,6.0,1575.0,4.0,5.0,2465.0
6.0,2.0,62.1,6.0,1.0,481.1,6.0,1.0,65.1,6.0,1.0,553.9,6.0,1.0,1307.0,5.0,1.0,1680.0
6.0,3.0,38.4,6.0,3.0,751.1,6.0,2.0,189.9,6.0,2.0,1151.0,6.0,2.0,2520.0,5.0,2.0,2835.0
6.0,4.0,100.1,6.0,4.0,1440.0,6.0,4.0,195.0,6.0,3.0,737.7,6.0,3.0,1626.0,5.0,3.0,2314.0
6.0,5.0,122.8,6.0,5.0,1718.0,6.0,5.0,253.4,6.0,5.0,1114.0,6.0,4.0,2181.0,5.0,4.0,2637.0
