1,原田　才一郎,原田　才一郎.1,2,藤原 碧生,藤原 碧生.1,3,高橋 竜矢,高橋 竜矢.1,4,飛田 江己,飛田 江己.1,5,中島 秀治,中島 秀治.1,6,山田 丈,山田 丈.1
2.0,3.0,6.3,1.0,3.0,28.5,1.0,2.0,45.1,1.0,2.0,152.8,1.0,2.0,156.5,1.0,2.0,824.4
2.0,4.0,13.7,1.0,4.0,47.7,1.0,4.0,47.3,1.0,3.0,178.4,1.0,3.0,146.1,1.0,3.0,1260.0
2.0,5.0,13.7,1.0,5.0,47.7,1.0,5.0,44.3,1.0,5.0,170.5,1.0,4.0,249.0,1.0,4.0,1368.0
2.0,6.0,40.8,1.0,6.0,111.0,1.0,6.0,103.8,1.0,6.0,247.4,1.0,6.0,242.1,1.0,5.0,1559.0
3.0,2.0,7.4,3.0,1.0,80.0,2.0,1.0,93.1,2.0,1.0,280.0,2.0,1.0,328.1,2.0,1.0,1262.0
3.0,4.0,10.3,3.0,4.0,172.7,2.0,4.0,196.7,2.0,3.0,437.5,2.0,3.0,490.8,2.0,3.0,2247.0
3.0,5.0,11.7,3.0,5.0,152.2,2.0,5.0,189.2,2.0,5.0,433.1,2.0,4.0,720.1,2.0,4.0,1983.0
3.0,6.0,34.3,3.0,6.0,342.1,2.0,6.0,392.2,2.0,6.0,637.5,2.0,6.0,807.8,2.0,5.0,2340.0
4.0,2.0,23.3,4.0,1.0,166.7,4.0,1.0,152.5,3.0,1.0,343.6,3.0,1.0,293.5,3.0,1.0,1708.0
4.0,3.0,23.7,4.0,3.0,259.6,4.0,2.0,260.9,3.0,2.0,503.4,3.0,2.0,534.2,3.0,2.0,2393.0
4.0,5.0,35.9,4.0,5.0,311.1,4.0,5.0,263.6,3.0,5.0,563.9,3.0,4.0,856.7,3.0,4.0,2473.0
4.0,6.0,59.8,4.0,6.0,447.2,4.0,6.0,419.0,3.0,6.0,753.4,3.0,6.0,941.4,3.0,5.0,2687.0
5.0,2.0,29.0,5.0,1.0,182.7,5.0,1.0,137.6,5.0,1.0,244.7,4.0,1.0,465.6,4.0,1.0,1736.0
5.0,3.0,28.6,5.0,3.0,247.5,5.0,2.0,249.2,5.0,2.0,360.8,4.0,2.0,637.1,4.0,2.0,1901.0
5.0,4.0,60.3,5.0,4.0,415.9,5.0,4.0,317.8,5.0,3.0,493.1,4.0,3.0,885.1,4.0,3.0,2764.0
5.0,6.0,70.6,5.0,6.0,526.9,5.0,6.0,374.0,5.0,6.0,336.7,4.0,6.0,685.7,4.0,5.0,2091.0
6.0,2.0,119.4,6.0,1.0,490.6,6.0,1.0,437.7,6.0,1.0,541.1,6.0,1.0,703.8,5.0,1.0,1853.0
6.0,3.0,126.7,6.0,3.0,898.3,6.0,2.0,764.1,6.0,2.0,786.0,6.0,2.0,933.1,5.0,2.0,2279.0
6.0,4.0,174.5,6.0,4.0,881.0,6.0,4.0,873.8,6.0,3.0,1022.0,6.0,3.0,1231.0,5.0,3.0,2710.0
6.0,5.0,170.2,6.0,5.0,827.2,6.0,5.0,784.1,6.0,5.0,603.9,6.0,4.0,1056.0,5.0,4.0,2082.0
