1,山下 大輝,山下 大輝.1,2,中野 孝二,中野 孝二.1,3,中島 秀治,中島 秀治.1,4,大場 恒季,大場 恒季.1,5,浦野 海,浦野 海.1,6,竹下 大樹,竹下 大樹.1
2.0,3.0,23.3,1.0,3.0,250.3,1.0,2.0,77.6,1.0,2.0,194.3,1.0,2.0,418.3,1.0,2.0,122.2
2.0,4.0,36.2,1.0,4.0,296.1,1.0,4.0,23.4,1.0,3.0,92.1,1.0,3.0,251.4,1.0,3.0,53.0
2.0,5.0,53.4,1.0,5.0,495.5,1.0,5.0,41.2,1.0,5.0,120.5,1.0,4.0,253.9,1.0,4.0,86.7
2.0,6.0,39.2,1.0,6.0,362.0,1.0,6.0,24.0,1.0,6.0,89.2,1.0,6.0,205.8,1.0,5.0,148.0
3.0,2.0,19.4,3.0,1.0,452.7,2.0,1.0,271.0,2.0,1.0,277.9,2.0,1.0,420.4,2.0,1.0,258.7
3.0,4.0,8.1,3.0,4.0,673.0,2.0,4.0,386.0,2.0,3.0,657.3,2.0,3.0,1241.0,2.0,3.0,325.6
3.0,5.0,16.1,3.0,5.0,1043.0,2.0,5.0,479.3,2.0,5.0,374.1,2.0,4.0,503.1,2.0,4.0,378.1
3.0,6.0,8.1,3.0,6.0,826.1,2.0,6.0,318.5,2.0,6.0,591.4,2.0,6.0,958.6,2.0,5.0,704.2
4.0,2.0,38.4,4.0,1.0,671.9,4.0,1.0,56.7,3.0,1.0,129.1,3.0,1.0,403.2,3.0,1.0,93.2
4.0,3.0,19.2,4.0,3.0,826.1,4.0,2.0,239.2,3.0,2.0,482.0,3.0,2.0,1138.0,3.0,2.0,282.9
4.0,5.0,39.4,4.0,5.0,1331.0,4.0,5.0,137.0,3.0,5.0,291.6,3.0,4.0,698.4,3.0,4.0,152.9
4.0,6.0,24.1,4.0,6.0,1153.0,4.0,6.0,56.9,3.0,6.0,181.3,3.0,6.0,382.9,3.0,5.0,213.1
5.0,2.0,79.9,5.0,1.0,1147.0,5.0,1.0,163.4,5.0,1.0,165.3,4.0,1.0,325.4,4.0,1.0,218.7
5.0,3.0,46.5,5.0,3.0,1335.0,5.0,2.0,467.1,5.0,2.0,403.2,4.0,2.0,755.6,4.0,2.0,619.9
5.0,4.0,69.8,5.0,4.0,1838.0,5.0,4.0,230.5,5.0,3.0,263.4,4.0,3.0,540.2,4.0,3.0,269.9
5.0,6.0,50.5,5.0,6.0,1484.0,5.0,6.0,138.7,5.0,6.0,137.1,4.0,6.0,294.4,4.0,5.0,395.4
6.0,2.0,49.3,6.0,1.0,780.6,6.0,1.0,64.3,6.0,1.0,135.8,6.0,1.0,335.1,5.0,1.0,342.7
6.0,3.0,18.5,6.0,3.0,1035.0,6.0,2.0,257.2,6.0,2.0,408.7,6.0,2.0,822.9,5.0,2.0,925.1
6.0,4.0,35.2,6.0,4.0,1365.0,6.0,4.0,78.1,6.0,3.0,211.2,6.0,3.0,387.8,5.0,3.0,352.7
6.0,5.0,47.1,6.0,5.0,1602.0,6.0,5.0,122.9,6.0,5.0,176.1,6.0,4.0,412.2,5.0,4.0,465.6
