1,藤原 碧生,藤原 碧生.1,2,水谷 理人,水谷 理人.1,3,生方 靖亜,生方 靖亜.1,4,中山 翔太,中山 翔太.1,5,西丸　侑太朗,西丸　侑太朗.1,6,小林 孝彰,小林 孝彰.1
2.0,3.0,19.4,1.0,3.0,150.2,1.0,2.0,363.1,1.0,2.0,69.9,1.0,2.0,53.6,1.0,2.0,1029.0
2.0,4.0,7.1,1.0,4.0,68.7,1.0,4.0,314.6,1.0,3.0,191.0,1.0,3.0,132.8,1.0,3.0,1702.0
2.0,5.0,8.0,1.0,5.0,66.4,1.0,5.0,296.0,1.0,5.0,44.6,1.0,4.0,53.4,1.0,4.0,1018.0
2.0,6.0,44.3,1.0,6.0,225.0,1.0,6.0,734.8,1.0,6.0,120.8,1.0,6.0,89.8,1.0,5.0,1046.0
3.0,2.0,29.0,3.0,1.0,464.7,2.0,1.0,698.2,2.0,1.0,160.5,2.0,1.0,140.4,2.0,1.0,1387.0
3.0,4.0,27.9,3.0,4.0,654.4,2.0,4.0,895.2,2.0,3.0,559.2,2.0,3.0,508.0,2.0,3.0,3420.0
3.0,5.0,26.1,3.0,5.0,712.9,2.0,5.0,1106.0,2.0,5.0,159.0,2.0,4.0,189.3,2.0,4.0,2132.0
3.0,6.0,70.9,3.0,6.0,1116.0,2.0,6.0,2061.0,2.0,6.0,406.2,2.0,6.0,358.8,2.0,5.0,2151.0
4.0,2.0,10.7,4.0,1.0,161.0,4.0,1.0,648.1,3.0,1.0,548.5,3.0,1.0,439.6,3.0,1.0,2922.0
4.0,3.0,26.4,4.0,3.0,540.9,4.0,2.0,1038.0,3.0,2.0,937.1,3.0,2.0,941.8,3.0,2.0,3500.0
4.0,5.0,9.5,4.0,5.0,183.5,4.0,5.0,821.9,3.0,5.0,572.2,3.0,4.0,816.4,3.0,4.0,4265.0
4.0,6.0,39.4,4.0,6.0,544.9,4.0,6.0,1664.0,3.0,6.0,1064.0,3.0,6.0,1063.0,3.0,5.0,3388.0
5.0,2.0,11.5,5.0,1.0,169.4,5.0,1.0,547.7,5.0,1.0,51.8,4.0,1.0,77.1,4.0,1.0,1174.0
5.0,3.0,25.3,5.0,3.0,558.0,5.0,2.0,1013.0,5.0,2.0,89.7,4.0,2.0,136.2,4.0,2.0,2005.0
5.0,4.0,13.6,5.0,4.0,241.3,5.0,4.0,901.8,5.0,3.0,281.3,4.0,3.0,459.5,4.0,3.0,3358.0
5.0,6.0,35.1,5.0,6.0,550.1,5.0,6.0,1413.0,5.0,6.0,98.9,4.0,6.0,154.7,4.0,5.0,1389.0
6.0,2.0,158.8,6.0,1.0,762.0,6.0,1.0,1963.0,6.0,1.0,301.0,6.0,1.0,254.5,5.0,1.0,1230.0
6.0,3.0,234.8,6.0,3.0,1846.0,6.0,2.0,2876.0,6.0,2.0,537.0,6.0,2.0,465.9,5.0,2.0,2044.0
6.0,4.0,161.9,6.0,4.0,1159.0,6.0,4.0,2524.0,6.0,3.0,992.2,6.0,3.0,939.4,5.0,3.0,2679.0
6.0,5.0,139.1,6.0,5.0,1253.0,6.0,5.0,2568.0,6.0,5.0,306.8,6.0,4.0,379.4,5.0,4.0,1493.0
