1,飛田 江己,飛田 江己.1,2,山下 大輝,山下 大輝.1,3,川原 涼,川原 涼.1,4,水谷 理人,水谷 理人.1,5,大森 翼,大森 翼.1,6,小林 京平,小林 京平.1
2.0,3.0,8.9,1.0,3.0,49.6,1.0,2.0,193.6,1.0,2.0,25.9,1.0,2.0,265.4,1.0,2.0,2616.0
2.0,4.0,5.8,1.0,4.0,30.9,1.0,4.0,172.1,1.0,3.0,64.0,1.0,3.0,532.2,1.0,3.0,3198.0
2.0,5.0,22.5,1.0,5.0,82.8,1.0,5.0,422.7,1.0,5.0,27.3,1.0,4.0,171.1,1.0,4.0,1847.0
2.0,6.0,67.3,1.0,6.0,244.2,1.0,6.0,788.6,1.0,6.0,72.5,1.0,6.0,473.8,1.0,5.0,4016.0
3.0,2.0,17.5,3.0,1.0,170.8,2.0,1.0,325.8,2.0,1.0,43.5,2.0,1.0,274.5,2.0,1.0,4063.0
3.0,4.0,16.2,3.0,4.0,175.6,2.0,4.0,279.0,2.0,3.0,111.6,2.0,3.0,964.8,2.0,3.0,5662.0
3.0,5.0,37.5,3.0,5.0,388.1,2.0,5.0,731.8,2.0,5.0,56.9,2.0,4.0,231.3,2.0,4.0,1887.0
3.0,6.0,139.9,3.0,6.0,1079.0,2.0,6.0,1508.0,2.0,6.0,171.9,2.0,6.0,872.2,2.0,5.0,2318.0
4.0,2.0,7.6,4.0,1.0,63.7,4.0,1.0,273.7,3.0,1.0,211.9,3.0,1.0,1178.0,3.0,1.0,4485.0
4.0,3.0,14.7,4.0,3.0,128.9,4.0,2.0,277.8,3.0,2.0,218.2,3.0,2.0,1338.0,3.0,2.0,6168.0
4.0,5.0,15.0,4.0,5.0,138.2,4.0,5.0,586.4,3.0,5.0,278.1,3.0,4.0,1159.0,3.0,4.0,4016.0
4.0,6.0,62.3,4.0,6.0,355.7,4.0,6.0,1303.0,3.0,6.0,699.2,3.0,6.0,3056.0,3.0,5.0,6517.0
5.0,2.0,51.7,5.0,1.0,334.7,5.0,1.0,970.2,5.0,1.0,35.5,4.0,1.0,135.6,4.0,1.0,2432.0
5.0,3.0,66.9,5.0,3.0,637.2,5.0,2.0,1139.0,5.0,2.0,44.6,4.0,2.0,169.1,4.0,2.0,1780.0
5.0,4.0,44.7,5.0,4.0,300.0,5.0,4.0,1021.0,5.0,3.0,142.9,4.0,3.0,545.6,4.0,3.0,3970.0
5.0,6.0,174.1,5.0,6.0,765.8,5.0,6.0,2432.0,5.0,6.0,67.8,4.0,6.0,235.4,4.0,5.0,1701.0
6.0,2.0,376.2,6.0,1.0,1445.0,6.0,1.0,1644.0,6.0,1.0,176.9,6.0,1.0,1114.0,5.0,1.0,4934.0
6.0,3.0,377.9,6.0,3.0,3140.0,6.0,2.0,2398.0,6.0,2.0,273.7,6.0,2.0,1186.0,5.0,2.0,2432.0
6.0,4.0,337.6,6.0,4.0,1166.0,6.0,4.0,2415.0,6.0,3.0,651.7,6.0,3.0,2785.0,5.0,3.0,6280.0
6.0,5.0,404.4,6.0,5.0,1387.0,6.0,5.0,3674.0,6.0,5.0,194.2,6.0,4.0,657.9,5.0,4.0,1780.0
