1,大場 恒季,大場 恒季.1,2,嘉手苅　徹哉,嘉手苅　徹哉.1,3,藤原 碧生,藤原 碧生.1,4,井上 慧人,井上 慧人.1,5,荒木 颯斗,荒木 颯斗.1,6,佐藤 航,佐藤 航.1
2.0,3.0,71.6,1.0,3.0,345.2,1.0,2.0,66.8,1.0,2.0,670.3,1.0,2.0,520.2,1.0,2.0,642.4
2.0,4.0,188.2,1.0,4.0,928.0,1.0,4.0,23.2,1.0,3.0,174.8,1.0,3.0,66.7,1.0,3.0,109.3
2.0,5.0,165.3,1.0,5.0,788.3,1.0,5.0,9.7,1.0,5.0,236.6,1.0,4.0,260.7,1.0,4.0,356.8
2.0,6.0,143.7,1.0,6.0,705.5,1.0,6.0,9.3,1.0,6.0,201.8,1.0,6.0,91.1,1.0,5.0,253.1
3.0,2.0,27.3,3.0,1.0,425.0,2.0,1.0,247.8,2.0,1.0,1271.0,2.0,1.0,1320.0,2.0,1.0,1478.0
3.0,4.0,17.3,3.0,4.0,1266.0,2.0,4.0,504.1,2.0,3.0,1343.0,2.0,3.0,1241.0,2.0,3.0,1955.0
3.0,5.0,6.6,3.0,5.0,936.4,2.0,5.0,397.7,2.0,5.0,1670.0,2.0,4.0,1993.0,2.0,4.0,2395.0
3.0,6.0,6.4,3.0,6.0,1054.0,2.0,6.0,375.0,2.0,6.0,1379.0,2.0,6.0,1361.0,2.0,5.0,2687.0
4.0,2.0,201.8,4.0,1.0,1707.0,4.0,1.0,67.5,3.0,1.0,201.1,3.0,1.0,81.3,3.0,1.0,123.7
4.0,3.0,52.0,4.0,3.0,1776.0,4.0,2.0,302.3,3.0,2.0,885.5,3.0,2.0,661.7,3.0,2.0,853.7
4.0,5.0,98.3,4.0,5.0,2809.0,4.0,5.0,84.9,3.0,5.0,286.6,3.0,4.0,284.0,3.0,4.0,472.5
4.0,6.0,86.4,4.0,6.0,2452.0,4.0,6.0,74.5,3.0,6.0,252.4,3.0,6.0,94.5,3.0,5.0,235.3
5.0,2.0,160.4,5.0,1.0,1707.0,5.0,1.0,26.1,5.0,1.0,313.7,4.0,1.0,592.0,4.0,1.0,759.3
5.0,3.0,23.0,5.0,3.0,1679.0,5.0,2.0,217.1,5.0,2.0,953.8,4.0,2.0,1679.0,4.0,2.0,1993.0
5.0,4.0,109.2,5.0,4.0,2619.0,5.0,4.0,75.3,5.0,3.0,305.6,4.0,3.0,518.5,4.0,3.0,858.4
5.0,6.0,37.4,5.0,6.0,1955.0,5.0,6.0,29.6,5.0,6.0,279.9,4.0,6.0,588.6,4.0,5.0,1226.0
6.0,2.0,175.3,6.0,1.0,1261.0,6.0,1.0,26.3,6.0,1.0,261.9,6.0,1.0,160.5,5.0,1.0,338.4
6.0,3.0,26.5,6.0,3.0,2239.0,6.0,2.0,203.0,6.0,2.0,1065.0,6.0,2.0,890.6,5.0,2.0,1379.0
6.0,4.0,108.7,6.0,4.0,2915.0,6.0,4.0,82.3,6.0,3.0,324.6,6.0,3.0,158.4,5.0,3.0,318.9
6.0,5.0,51.1,6.0,5.0,2734.0,6.0,5.0,36.6,6.0,5.0,377.8,6.0,4.0,437.7,5.0,4.0,911.6
