1,中山 翔太,中山 翔太.1,2,岩下 巧斗,岩下 巧斗.1,3,西丸　侑太朗,西丸　侑太朗.1,4,山田 丈,山田 丈.1,5,大原 祥昌,大原 祥昌.1,6,川原 涼,川原 涼.1
2.0,3.0,31.6,1.0,3.0,209.3,1.0,2.0,46.1,1.0,2.0,211.5,1.0,2.0,429.5,1.0,2.0,2192.0
2.0,4.0,54.7,1.0,4.0,331.1,1.0,4.0,9.3,1.0,3.0,56.4,1.0,3.0,160.5,1.0,3.0,1449.0
2.0,5.0,100.5,1.0,5.0,492.1,1.0,5.0,14.8,1.0,5.0,89.5,1.0,4.0,252.2,1.0,4.0,1968.0
2.0,6.0,171.7,1.0,6.0,803.3,1.0,6.0,38.8,1.0,6.0,180.7,1.0,6.0,404.7,1.0,5.0,1974.0
3.0,2.0,17.5,3.0,1.0,354.9,2.0,1.0,166.8,2.0,1.0,441.7,2.0,1.0,956.3,2.0,1.0,3189.0
3.0,4.0,5.1,3.0,4.0,622.3,2.0,4.0,212.6,2.0,3.0,488.7,2.0,3.0,1101.0,2.0,3.0,4037.0
3.0,5.0,10.3,3.0,5.0,942.2,2.0,5.0,274.3,2.0,5.0,667.2,2.0,4.0,1526.0,2.0,4.0,3624.0
3.0,6.0,21.0,3.0,6.0,1586.0,2.0,6.0,496.7,2.0,6.0,887.1,2.0,6.0,1710.0,2.0,5.0,4252.0
4.0,2.0,45.1,4.0,1.0,737.4,4.0,1.0,17.6,3.0,1.0,51.7,3.0,1.0,191.5,3.0,1.0,1493.0
4.0,3.0,13.8,4.0,3.0,712.7,4.0,2.0,80.5,3.0,2.0,205.9,3.0,2.0,644.9,3.0,2.0,3730.0
4.0,5.0,28.4,4.0,5.0,1368.0,4.0,5.0,21.1,3.0,5.0,65.0,3.0,4.0,270.0,3.0,4.0,1719.0
4.0,6.0,57.1,4.0,6.0,1548.0,4.0,6.0,50.0,3.0,6.0,128.6,3.0,6.0,470.7,3.0,5.0,2154.0
5.0,2.0,107.2,5.0,1.0,1084.0,5.0,1.0,44.6,5.0,1.0,123.9,4.0,1.0,384.2,4.0,1.0,2199.0
5.0,3.0,38.1,5.0,3.0,1331.0,5.0,2.0,182.0,5.0,2.0,394.9,4.0,2.0,1101.0,4.0,2.0,3603.0
5.0,4.0,63.6,5.0,4.0,1921.0,5.0,4.0,50.7,5.0,3.0,134.6,4.0,3.0,338.9,4.0,3.0,2005.0
5.0,6.0,141.5,5.0,6.0,2319.0,5.0,6.0,104.3,5.0,6.0,202.1,4.0,6.0,604.0,4.0,5.0,2162.0
6.0,2.0,282.9,6.0,1.0,1944.0,6.0,1.0,208.3,6.0,1.0,402.1,6.0,1.0,1077.0,5.0,1.0,2785.0
6.0,3.0,142.6,6.0,3.0,2873.0,6.0,2.0,552.2,6.0,2.0,903.5,6.0,2.0,2012.0,5.0,2.0,5185.0
6.0,4.0,201.6,6.0,4.0,3008.0,6.0,4.0,196.8,6.0,3.0,405.0,6.0,3.0,1075.0,5.0,3.0,2582.0
6.0,5.0,309.3,6.0,5.0,3357.0,6.0,5.0,247.0,6.0,5.0,450.4,6.0,4.0,1135.0,5.0,4.0,2311.0
