1,砂長 知輝,砂長 知輝.1,2,大江 純,大江 純.1,3,高山 敬悟,高山 敬悟.1,4,藤原 碧生,藤原 碧生.1,5,坂本 雄紀,坂本 雄紀.1,6,小玉 啓太,小玉 啓太.1
2.0,3.0,44.2,1.0,3.0,250.1,1.0,2.0,379.8,1.0,2.0,16.0,1.0,2.0,180.1,1.0,2.0,1421.0
2.0,4.0,12.6,1.0,4.0,90.4,1.0,4.0,218.1,1.0,3.0,33.9,1.0,3.0,321.0,1.0,3.0,2110.0
2.0,5.0,40.6,1.0,5.0,218.9,1.0,5.0,390.1,1.0,5.0,10.3,1.0,4.0,83.1,1.0,4.0,793.9
2.0,6.0,132.6,1.0,6.0,421.7,1.0,6.0,787.7,1.0,6.0,29.1,1.0,6.0,242.9,1.0,5.0,1515.0
3.0,2.0,61.2,3.0,1.0,527.6,2.0,1.0,644.6,2.0,1.0,42.6,2.0,1.0,375.8,2.0,1.0,2050.0
3.0,4.0,25.3,3.0,4.0,713.5,2.0,4.0,638.0,2.0,3.0,114.0,2.0,3.0,931.5,2.0,3.0,3761.0
3.0,5.0,60.0,3.0,5.0,990.5,2.0,5.0,1129.0,2.0,5.0,54.6,2.0,4.0,354.5,2.0,4.0,2058.0
3.0,6.0,163.3,3.0,6.0,1780.0,2.0,6.0,1608.0,2.0,6.0,115.7,2.0,6.0,805.5,2.0,5.0,3269.0
4.0,2.0,6.8,4.0,1.0,120.8,4.0,1.0,278.3,3.0,1.0,115.0,3.0,1.0,638.8,3.0,1.0,2908.0
4.0,3.0,13.2,4.0,3.0,393.8,4.0,2.0,674.1,3.0,2.0,239.9,3.0,2.0,1397.0,3.0,2.0,4134.0
4.0,5.0,8.2,4.0,5.0,285.3,4.0,5.0,485.6,3.0,5.0,214.5,3.0,4.0,833.6,3.0,4.0,2908.0
4.0,6.0,31.5,4.0,6.0,539.6,4.0,6.0,899.6,3.0,6.0,318.6,3.0,6.0,1812.0,3.0,5.0,4239.0
5.0,2.0,56.8,5.0,1.0,439.9,5.0,1.0,641.3,5.0,1.0,14.7,4.0,1.0,73.0,4.0,1.0,688.0
5.0,3.0,81.7,5.0,3.0,947.3,5.0,2.0,1066.0,5.0,2.0,31.6,4.0,2.0,148.1,4.0,2.0,1323.0
5.0,4.0,28.0,5.0,4.0,492.8,5.0,4.0,802.9,5.0,3.0,83.0,4.0,3.0,326.0,4.0,3.0,2243.0
5.0,6.0,126.8,5.0,6.0,1493.0,5.0,6.0,2041.0,5.0,6.0,28.4,4.0,6.0,141.6,4.0,5.0,924.6
6.0,2.0,305.9,6.0,1.0,976.9,6.0,1.0,1689.0,6.0,1.0,63.9,6.0,1.0,526.5,5.0,1.0,2223.0
6.0,3.0,384.7,6.0,3.0,2284.0,6.0,2.0,2273.0,6.0,2.0,125.4,6.0,2.0,888.4,5.0,2.0,3379.0
6.0,4.0,137.2,6.0,4.0,1157.0,6.0,4.0,2273.0,6.0,3.0,238.1,6.0,3.0,1458.0,5.0,3.0,4168.0
6.0,5.0,348.5,6.0,5.0,2008.0,6.0,5.0,3031.0,6.0,5.0,77.8,6.0,4.0,471.9,5.0,4.0,1319.0
