1,大森 翼,大森 翼.1,2,坂井 滉哉,坂井 滉哉.1,3,山本　稔太朗,山本　稔太朗.1,4,上野 俊樹,上野 俊樹.1,5,荒木 颯斗,荒木 颯斗.1,6,嘉手苅　徹哉,嘉手苅　徹哉.1
2.0,3.0,27.3,1.0,3.0,137.3,1.0,2.0,149.6,1.0,2.0,86.5,1.0,2.0,87.8,1.0,2.0,2037.0
2.0,4.0,28.4,1.0,4.0,137.1,1.0,4.0,44.1,1.0,3.0,52.9,1.0,3.0,53.3,1.0,3.0,1337.0
2.0,5.0,31.0,1.0,5.0,159.7,1.0,5.0,40.3,1.0,5.0,25.6,1.0,4.0,43.6,1.0,4.0,1540.0
2.0,6.0,226.0,1.0,6.0,568.4,1.0,6.0,303.7,1.0,6.0,85.2,1.0,6.0,125.3,1.0,5.0,1094.0
3.0,2.0,27.5,3.0,1.0,239.5,2.0,1.0,308.7,2.0,1.0,211.2,2.0,1.0,203.7,2.0,1.0,3230.0
3.0,4.0,12.2,3.0,4.0,261.2,2.0,4.0,241.2,2.0,3.0,246.1,2.0,3.0,289.8,2.0,3.0,4272.0
3.0,5.0,11.6,3.0,5.0,265.4,2.0,5.0,227.9,2.0,5.0,138.1,2.0,4.0,202.2,2.0,4.0,3080.0
3.0,6.0,124.8,3.0,6.0,1026.0,2.0,6.0,817.5,2.0,6.0,391.8,2.0,6.0,613.1,2.0,5.0,2818.0
4.0,2.0,33.4,4.0,1.0,232.3,4.0,1.0,66.8,3.0,1.0,88.6,3.0,1.0,95.2,3.0,1.0,1865.0
4.0,3.0,15.3,4.0,3.0,263.3,4.0,2.0,180.6,3.0,2.0,214.6,3.0,2.0,192.2,3.0,2.0,5094.0
4.0,5.0,12.8,4.0,5.0,269.2,4.0,5.0,50.8,3.0,5.0,55.2,3.0,4.0,80.6,3.0,4.0,3579.0
4.0,6.0,102.9,4.0,6.0,1011.0,4.0,6.0,265.9,3.0,6.0,222.9,3.0,6.0,238.2,3.0,5.0,2244.0
5.0,2.0,32.6,5.0,1.0,302.3,5.0,1.0,67.5,5.0,1.0,26.8,4.0,1.0,41.6,4.0,1.0,1455.0
5.0,3.0,18.0,5.0,3.0,344.0,5.0,2.0,173.8,5.0,2.0,62.0,4.0,2.0,79.5,4.0,2.0,2323.0
5.0,4.0,19.3,5.0,4.0,331.1,5.0,4.0,66.5,5.0,3.0,36.2,4.0,3.0,53.8,4.0,3.0,2365.0
5.0,6.0,97.3,5.0,6.0,995.8,5.0,6.0,354.1,5.0,6.0,46.6,4.0,6.0,74.8,4.0,5.0,888.9
6.0,2.0,527.6,6.0,1.0,1237.0,6.0,1.0,812.5,6.0,1.0,311.6,6.0,1.0,311.6,5.0,1.0,981.1
6.0,3.0,286.6,6.0,3.0,1558.0,6.0,2.0,1249.0,6.0,2.0,494.2,6.0,2.0,547.3,5.0,2.0,1789.0
6.0,4.0,348.5,6.0,4.0,1789.0,6.0,4.0,865.6,6.0,3.0,469.6,6.0,3.0,402.5,5.0,3.0,1655.0
6.0,5.0,310.1,6.0,5.0,1814.0,6.0,5.0,779.1,6.0,5.0,185.2,6.0,4.0,257.1,5.0,4.0,735.8
