1,山田 丈,山田 丈.1,2,中野 希一,中野 希一.1,3,篠原 飛翔,篠原 飛翔.1,4,西丸　侑太朗,西丸　侑太朗.1,5,小玉 啓太,小玉 啓太.1,6,井上 慧人,井上 慧人.1
2.0,3.0,17.6,1.0,3.0,71.2,1.0,2.0,230.4,1.0,2.0,9.3,1.0,2.0,353.2,1.0,2.0,1226.0
2.0,4.0,7.9,1.0,4.0,26.2,1.0,4.0,133.8,1.0,3.0,23.0,1.0,3.0,717.6,1.0,3.0,2903.0
2.0,5.0,59.4,1.0,5.0,141.0,1.0,5.0,441.3,1.0,5.0,19.1,1.0,4.0,341.3,1.0,4.0,1514.0
2.0,6.0,171.4,1.0,6.0,297.7,1.0,6.0,985.8,1.0,6.0,51.7,1.0,6.0,770.0,1.0,5.0,2851.0
3.0,2.0,29.5,3.0,1.0,196.6,2.0,1.0,397.5,2.0,1.0,17.0,2.0,1.0,534.5,2.0,1.0,2068.0
3.0,4.0,21.2,3.0,4.0,148.7,2.0,4.0,255.0,2.0,3.0,32.6,2.0,3.0,1126.0,2.0,3.0,3907.0
3.0,5.0,102.3,3.0,5.0,530.1,2.0,5.0,603.9,2.0,5.0,34.1,2.0,4.0,523.0,2.0,4.0,2293.0
3.0,6.0,271.8,3.0,6.0,703.2,2.0,6.0,1478.0,2.0,6.0,84.4,2.0,6.0,1260.0,2.0,5.0,3402.0
4.0,2.0,6.7,4.0,1.0,37.2,4.0,1.0,189.8,3.0,1.0,63.5,3.0,1.0,1307.0,3.0,1.0,4057.0
4.0,3.0,13.9,4.0,3.0,79.8,4.0,2.0,200.0,3.0,2.0,56.8,3.0,2.0,1701.0,3.0,2.0,4110.0
4.0,5.0,33.3,4.0,5.0,144.6,4.0,5.0,499.1,3.0,5.0,170.5,3.0,4.0,1639.0,3.0,4.0,4868.0
4.0,6.0,83.3,4.0,6.0,287.7,4.0,6.0,959.0,3.0,6.0,284.3,3.0,6.0,2957.0,3.0,5.0,5188.0
5.0,2.0,132.1,5.0,1.0,402.1,5.0,1.0,1083.0,5.0,1.0,26.4,4.0,1.0,290.6,4.0,1.0,1388.0
5.0,3.0,214.8,5.0,3.0,832.8,5.0,2.0,1297.0,5.0,2.0,30.2,4.0,2.0,333.4,4.0,2.0,1639.0
5.0,4.0,125.2,5.0,4.0,391.1,5.0,4.0,1400.0,5.0,3.0,99.8,4.0,3.0,773.7,4.0,3.0,2957.0
5.0,6.0,387.3,5.0,6.0,961.9,5.0,6.0,2637.0,5.0,6.0,49.2,4.0,6.0,454.0,4.0,5.0,1729.0
6.0,2.0,350.8,6.0,1.0,799.1,6.0,1.0,2397.0,6.0,1.0,116.6,6.0,1.0,1370.0,5.0,1.0,2825.0
6.0,3.0,645.8,6.0,3.0,1798.0,6.0,2.0,3767.0,6.0,2.0,139.9,6.0,2.0,1400.0,5.0,2.0,2572.0
6.0,4.0,377.6,6.0,4.0,771.8,6.0,4.0,2985.0,6.0,3.0,319.6,6.0,3.0,2434.0,5.0,3.0,4057.0
6.0,5.0,714.3,6.0,5.0,1412.0,6.0,5.0,3637.0,6.0,5.0,138.3,6.0,4.0,1017.0,5.0,4.0,1990.0
