1,高橋 竜矢,高橋 竜矢.1,2,藤原 碧生,藤原 碧生.1,3,荒木 颯斗,荒木 颯斗.1,4,中山 翔太,中山 翔太.1,5,小林 孝彰,小林 孝彰.1,6,山田 丈,山田 丈.1
2.0,3.0,9.0,1.0,3.0,29.2,1.0,2.0,99.0,1.0,2.0,54.6,1.0,2.0,511.7,1.0,2.0,113.9
2.0,4.0,7.5,1.0,4.0,21.8,1.0,4.0,83.2,1.0,3.0,97.7,1.0,3.0,744.7,1.0,3.0,211.3
2.0,5.0,35.0,1.0,5.0,76.5,1.0,5.0,159.8,1.0,5.0,96.3,1.0,4.0,674.4,1.0,4.0,143.2
2.0,6.0,10.8,1.0,6.0,29.0,1.0,6.0,178.4,1.0,6.0,85.7,1.0,6.0,937.4,1.0,5.0,408.0
3.0,2.0,20.0,3.0,1.0,116.7,2.0,1.0,143.8,2.0,1.0,79.5,2.0,1.0,799.1,2.0,1.0,168.9
3.0,4.0,25.5,3.0,4.0,145.0,2.0,4.0,142.9,2.0,3.0,173.2,2.0,3.0,1433.0,2.0,3.0,478.3
3.0,5.0,63.7,3.0,5.0,325.0,2.0,5.0,273.2,2.0,5.0,160.1,2.0,4.0,1040.0,2.0,4.0,287.9
3.0,6.0,41.5,3.0,6.0,231.3,2.0,6.0,335.6,2.0,6.0,152.7,2.0,6.0,1580.0,2.0,5.0,860.7
4.0,2.0,16.8,4.0,1.0,66.2,4.0,1.0,77.9,3.0,1.0,106.5,3.0,1.0,951.8,3.0,1.0,416.5
4.0,3.0,33.0,4.0,3.0,151.4,4.0,2.0,91.7,3.0,2.0,121.8,3.0,2.0,1452.0,3.0,2.0,585.2
4.0,5.0,54.4,4.0,5.0,201.9,4.0,5.0,100.9,3.0,5.0,125.8,3.0,4.0,879.7,3.0,4.0,461.7
4.0,6.0,27.7,4.0,6.0,120.7,4.0,6.0,180.9,3.0,6.0,227.5,3.0,6.0,1685.0,3.0,5.0,1005.0
5.0,2.0,105.0,5.0,1.0,346.6,5.0,1.0,267.6,5.0,1.0,151.9,4.0,1.0,685.2,4.0,1.0,221.7
5.0,3.0,160.3,5.0,3.0,682.7,5.0,2.0,329.4,5.0,2.0,175.5,4.0,2.0,790.0,4.0,2.0,296.3
5.0,4.0,166.6,5.0,4.0,442.3,5.0,4.0,231.2,5.0,3.0,217.9,4.0,3.0,781.2,4.0,3.0,474.7
5.0,6.0,199.0,5.0,6.0,624.6,5.0,6.0,619.0,5.0,6.0,242.3,4.0,6.0,1060.0,4.0,5.0,650.1
6.0,2.0,23.2,6.0,1.0,94.5,6.0,1.0,418.1,6.0,1.0,173.9,6.0,1.0,1401.0,5.0,1.0,1166.0
6.0,3.0,42.2,6.0,3.0,242.7,6.0,2.0,524.2,6.0,2.0,207.2,6.0,2.0,1776.0,5.0,2.0,1288.0
6.0,4.0,28.4,6.0,4.0,146.2,6.0,4.0,409.2,6.0,3.0,366.2,6.0,3.0,1957.0,5.0,3.0,1487.0
6.0,5.0,92.6,6.0,5.0,439.2,6.0,5.0,791.1,6.0,5.0,363.8,6.0,4.0,1650.0,5.0,4.0,1136.0
