1,出畑 孝典,出畑 孝典.1,2,池田 雷太,池田 雷太.1,3,坂東 満,坂東 満.1,4,川崎 智幸,川崎 智幸.1,5,下田 哲也,下田 哲也.1,6,村田 修次,村田 修次.1
2.0,3.0,23.7,1.0,3.0,254.4,1.0,2.0,120.8,1.0,2.0,87.1,1.0,2.0,878.6,1.0,2.0,606.9
2.0,4.0,18.4,1.0,4.0,198.0,1.0,4.0,27.4,1.0,3.0,51.3,1.0,3.0,532.2,1.0,3.0,357.2
2.0,5.0,79.5,1.0,5.0,490.0,1.0,5.0,95.4,1.0,5.0,82.7,1.0,4.0,457.8,1.0,4.0,254.5
2.0,6.0,40.5,1.0,6.0,291.9,1.0,6.0,44.6,1.0,6.0,44.5,1.0,6.0,541.9,1.0,5.0,780.1
3.0,2.0,17.5,3.0,1.0,465.0,2.0,1.0,315.0,2.0,1.0,264.0,2.0,1.0,1291.0,2.0,1.0,1213.0
3.0,4.0,5.7,3.0,4.0,697.1,2.0,4.0,369.6,2.0,3.0,463.5,2.0,3.0,1848.0,2.0,3.0,1887.0
3.0,5.0,31.9,3.0,5.0,729.0,2.0,5.0,626.5,2.0,5.0,558.9,2.0,4.0,1928.0,2.0,4.0,1197.0
3.0,6.0,13.1,3.0,6.0,1035.0,2.0,6.0,501.0,2.0,6.0,348.5,2.0,6.0,1781.0,2.0,5.0,2227.0
4.0,2.0,14.4,4.0,1.0,391.4,4.0,1.0,38.4,3.0,1.0,69.7,3.0,1.0,723.1,3.0,1.0,479.5
4.0,3.0,8.0,4.0,3.0,701.5,4.0,2.0,170.8,3.0,2.0,258.8,3.0,2.0,1674.0,3.0,2.0,1818.0
4.0,5.0,32.1,4.0,5.0,1014.0,4.0,5.0,97.3,3.0,5.0,144.5,3.0,4.0,1119.0,3.0,4.0,569.6
4.0,6.0,11.0,4.0,6.0,686.4,4.0,6.0,47.8,3.0,6.0,81.3,3.0,6.0,1122.0,3.0,5.0,1649.0
5.0,2.0,123.8,5.0,1.0,1151.0,5.0,1.0,248.4,5.0,1.0,156.8,4.0,1.0,519.8,4.0,1.0,347.2
5.0,3.0,82.6,5.0,3.0,707.1,5.0,2.0,570.3,5.0,2.0,413.6,4.0,2.0,1552.0,4.0,2.0,1031.0
5.0,4.0,89.3,5.0,4.0,1911.0,5.0,4.0,260.5,5.0,3.0,305.5,4.0,3.0,994.3,4.0,3.0,440.6
5.0,6.0,91.4,5.0,6.0,2081.0,5.0,6.0,282.6,5.0,6.0,141.2,4.0,6.0,559.6,4.0,5.0,539.3
6.0,2.0,76.3,6.0,1.0,964.2,6.0,1.0,117.4,6.0,1.0,90.8,6.0,1.0,875.1,5.0,1.0,1317.0
6.0,3.0,42.7,6.0,3.0,1760.0,6.0,2.0,433.3,6.0,2.0,260.0,6.0,2.0,1656.0,5.0,2.0,2284.0
6.0,4.0,36.3,6.0,4.0,573.3,6.0,4.0,125.0,6.0,3.0,151.0,6.0,3.0,1213.0,5.0,3.0,1971.0
6.0,5.0,106.0,6.0,5.0,2238.0,6.0,5.0,285.3,6.0,5.0,153.1,6.0,4.0,765.4,5.0,4.0,1116.0
