1,岡崎 恭裕,岡崎 恭裕.1,2,中岡 正彦,中岡 正彦.1,3,丸岡 正典,丸岡 正典.1,4,池田 雄一,池田 雄一.1,5,安河内 将,安河内 将.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,11.7,1.0,3.0,62.5,1.0,2.0,61.9,1.0,2.0,58.2,1.0,2.0,174.7,1.0,2.0,981.6
2.0,4.0,11.7,1.0,4.0,41.9,1.0,4.0,45.5,1.0,3.0,82.8,1.0,3.0,197.2,1.0,3.0,1314.0
2.0,5.0,19.9,1.0,5.0,62.3,1.0,5.0,51.1,1.0,5.0,57.7,1.0,4.0,171.7,1.0,4.0,1017.0
2.0,6.0,45.8,1.0,6.0,134.3,1.0,6.0,113.5,1.0,6.0,86.9,1.0,6.0,222.0,1.0,5.0,1079.0
3.0,2.0,12.3,3.0,1.0,151.8,2.0,1.0,169.3,2.0,1.0,78.1,2.0,1.0,295.0,2.0,1.0,1469.0
3.0,4.0,10.4,3.0,4.0,172.8,2.0,4.0,223.0,2.0,3.0,176.8,2.0,3.0,672.3,2.0,3.0,2435.0
3.0,5.0,15.1,3.0,5.0,281.4,2.0,5.0,370.5,2.0,5.0,86.1,2.0,4.0,418.4,2.0,4.0,1302.0
3.0,6.0,41.9,3.0,6.0,487.9,2.0,6.0,621.0,2.0,6.0,120.7,2.0,6.0,553.5,2.0,5.0,2172.0
4.0,2.0,16.4,4.0,1.0,63.9,4.0,1.0,139.4,3.0,1.0,183.3,3.0,1.0,381.4,3.0,1.0,2315.0
4.0,3.0,17.6,4.0,3.0,138.6,4.0,2.0,259.5,3.0,2.0,273.7,3.0,2.0,738.8,3.0,2.0,2683.0
4.0,5.0,22.6,4.0,5.0,75.9,4.0,5.0,251.5,3.0,5.0,259.6,3.0,4.0,689.9,3.0,4.0,2321.0
4.0,6.0,36.7,4.0,6.0,109.0,4.0,6.0,395.6,3.0,6.0,369.4,3.0,6.0,859.8,3.0,5.0,2522.0
5.0,2.0,37.0,5.0,1.0,154.6,5.0,1.0,201.9,5.0,1.0,67.7,4.0,1.0,180.2,4.0,1.0,1177.0
5.0,3.0,34.2,5.0,3.0,316.6,5.0,2.0,490.2,5.0,2.0,104.1,4.0,2.0,260.7,4.0,2.0,1203.0
5.0,4.0,43.7,5.0,4.0,169.9,5.0,4.0,483.5,5.0,3.0,166.4,4.0,3.0,445.5,4.0,3.0,2041.0
5.0,6.0,57.6,5.0,6.0,261.3,5.0,6.0,603.7,5.0,6.0,80.3,4.0,6.0,215.9,4.0,5.0,1099.0
6.0,2.0,136.7,6.0,1.0,450.5,6.0,1.0,660.8,6.0,1.0,204.1,6.0,1.0,480.7,5.0,1.0,1411.0
6.0,3.0,155.5,6.0,3.0,852.0,6.0,2.0,1308.0,6.0,2.0,280.3,6.0,2.0,778.2,5.0,2.0,1886.0
6.0,4.0,125.9,6.0,4.0,430.1,6.0,4.0,1146.0,6.0,3.0,429.9,6.0,3.0,927.7,5.0,3.0,2066.0
6.0,5.0,142.2,6.0,5.0,560.8,6.0,5.0,1125.0,6.0,5.0,204.8,6.0,4.0,546.7,5.0,4.0,1162.0
