1,村田 修次,村田 修次.1,2,角浜 修,角浜 修.1,3,芹澤 克彦,芹澤 克彦.1,4,山田 和佐,山田 和佐.1,5,大熊 辰弥,大熊 辰弥.1,6,岡崎 恭裕,岡崎 恭裕.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,109.5,1,2,665.1,1,2,9.4
2,4,21.5,1,4,99.8,1,4,欠場,1,3,欠場,1,3,欠場,1,3,欠場
2,5,75.3,1,5,317.2,1,5,欠場,1,5,255.2,1,4,675.5,1,4,8.7
2,6,10.2,1,6,55.3,1,6,欠場,1,6,42.2,1,6,411.4,1,5,39.1
3,2,欠場,3,1,欠場,2,1,欠場,2,1,197.8,2,1,898.7,2,1,26.0
3,4,欠場,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,欠場,3,5,欠場,2,5,欠場,2,5,483.9,2,4,1067,2,4,43.7
3,6,欠場,3,6,欠場,2,6,欠場,2,6,179.0,2,6,831.9,2,5,110.2
4,2,22.2,4,1,188.7,4,1,欠場,3,1,欠場,3,1,欠場,3,1,欠場
4,3,欠場,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,78.2,4,5,563.3,4,5,欠場,3,5,欠場,3,4,欠場,3,4,欠場
4,6,9.7,4,6,162.5,4,6,欠場,3,6,欠場,3,6,欠場,3,5,欠場
5,2,175.5,5,1,567.6,5,1,欠場,5,1,499.1,4,1,1030,4,1,20.8
5,3,欠場,5,3,欠場,5,2,欠場,5,2,617.5,4,2,1094,4,2,42.7
5,4,199.1,5,4,719.0,5,4,欠場,5,3,欠場,4,3,欠場,4,3,欠場
5,6,115.6,5,6,556.1,5,6,欠場,5,6,372.8,4,6,760.6,4,5,106.3
6,2,5.8,6,1,68.8,6,1,欠場,6,1,40.1,6,1,361.6,5,1,115.4
6,3,欠場,6,3,欠場,6,2,欠場,6,2,91.9,6,2,575.2,5,2,196.6
6,4,5.5,6,4,120.7,6,4,欠場,6,3,欠場,6,3,欠場,5,3,欠場
6,5,26.6,6,5,319.8,6,5,欠場,6,5,166.0,6,4,507.5,5,4,191.8
