1,鈴木 智啓,鈴木 智啓.1,2,丸岡 正典,丸岡 正典.1,3,井川 大作,井川 大作.1,4,越智 照浩,越智 照浩.1,5,小野 信樹,小野 信樹.1,6,石川 吉鎬,石川 吉鎬.1
2.0,3.0,5.5,1.0,3.0,8.4,1.0,2.0,76.8,1.0,2.0,357.2,1.0,2.0,390.6,1.0,2.0,113.6
2.0,4.0,20.8,1.0,4.0,26.5,1.0,4.0,237.5,1.0,3.0,794.3,1.0,3.0,749.1,1.0,3.0,308.9
2.0,5.0,18.3,1.0,5.0,22.9,1.0,5.0,186.2,1.0,5.0,727.7,1.0,4.0,1136.0,1.0,4.0,729.2
2.0,6.0,8.3,1.0,6.0,9.8,1.0,6.0,127.7,1.0,6.0,621.0,1.0,6.0,651.7,1.0,5.0,704.6
3.0,2.0,12.4,3.0,1.0,35.4,2.0,1.0,88.7,2.0,1.0,462.7,2.0,1.0,532.7,2.0,1.0,120.7
3.0,4.0,50.0,3.0,4.0,97.2,2.0,4.0,206.1,2.0,3.0,765.2,2.0,3.0,847.2,2.0,3.0,237.7
3.0,5.0,41.2,3.0,5.0,82.6,2.0,5.0,183.1,2.0,5.0,1071.0,2.0,4.0,1540.0,2.0,4.0,560.4
3.0,6.0,32.0,3.0,6.0,37.1,2.0,6.0,106.3,2.0,6.0,495.6,2.0,6.0,703.2,2.0,5.0,559.5
4.0,2.0,78.1,4.0,1.0,136.5,4.0,1.0,541.6,3.0,1.0,1170.0,3.0,1.0,1101.0,3.0,1.0,593.0
4.0,3.0,127.2,4.0,3.0,218.8,4.0,2.0,447.0,3.0,2.0,1059.0,3.0,2.0,1159.0,3.0,2.0,411.3
4.0,5.0,211.6,4.0,5.0,235.8,4.0,5.0,629.8,3.0,5.0,1779.0,3.0,4.0,2183.0,3.0,4.0,1464.0
4.0,6.0,163.6,4.0,6.0,146.9,4.0,6.0,491.5,3.0,6.0,1162.0,3.0,6.0,1186.0,3.0,5.0,1275.0
5.0,2.0,74.3,5.0,1.0,131.0,5.0,1.0,451.0,5.0,1.0,1071.0,4.0,1.0,1533.0,4.0,1.0,1694.0
5.0,3.0,126.8,5.0,3.0,187.9,5.0,2.0,381.4,5.0,2.0,1266.0,4.0,2.0,1999.0,4.0,2.0,1186.0
5.0,4.0,268.3,5.0,4.0,314.6,5.0,4.0,692.3,5.0,3.0,1670.0,4.0,3.0,2156.0,4.0,3.0,2616.0
5.0,6.0,148.8,5.0,6.0,126.1,5.0,6.0,402.5,5.0,6.0,972.2,4.0,6.0,1770.0,4.0,5.0,2560.0
6.0,2.0,36.1,6.0,1.0,36.0,6.0,1.0,289.7,6.0,1.0,994.0,6.0,1.0,926.7,5.0,1.0,1231.0
6.0,3.0,76.7,6.0,3.0,60.5,6.0,2.0,230.9,6.0,2.0,681.7,6.0,2.0,889.6,5.0,2.0,1126.0
6.0,4.0,196.0,6.0,4.0,154.8,6.0,4.0,532.7,6.0,3.0,1373.0,6.0,3.0,1313.0,5.0,3.0,1788.0
6.0,5.0,169.2,6.0,5.0,112.3,6.0,5.0,442.6,6.0,5.0,1261.0,6.0,4.0,1902.0,5.0,4.0,2404.0
