1,丸岡 正典,丸岡 正典.1,2,岡崎 恭裕,岡崎 恭裕.1,3,池田 雷太,池田 雷太.1,4,植田 太一,植田 太一.1,5,岡部 大輔,岡部 大輔.1,6,上岡 巧汰,上岡 巧汰.1
2.0,3.0,11.5,1.0,3.0,49.7,1.0,2.0,296.8,1.0,2.0,16.3,1.0,2.0,81.2,1.0,2.0,2030.0
2.0,4.0,4.2,1.0,4.0,17.4,1.0,4.0,386.7,1.0,3.0,81.9,1.0,3.0,224.1,1.0,3.0,3641.0
2.0,5.0,9.6,1.0,5.0,35.2,1.0,5.0,484.3,1.0,5.0,24.5,1.0,4.0,80.9,1.0,4.0,2596.0
2.0,6.0,175.6,1.0,6.0,283.0,1.0,6.0,1676.0,1.0,6.0,218.6,1.0,6.0,554.7,1.0,5.0,4399.0
3.0,2.0,43.3,3.0,1.0,185.7,2.0,1.0,360.7,2.0,1.0,24.8,2.0,1.0,111.1,2.0,1.0,2534.0
3.0,4.0,50.5,3.0,4.0,243.8,2.0,4.0,541.4,2.0,3.0,137.7,2.0,3.0,310.5,2.0,3.0,4525.0
3.0,5.0,78.1,3.0,5.0,300.2,2.0,5.0,818.5,2.0,5.0,45.2,2.0,4.0,126.2,2.0,4.0,3299.0
3.0,6.0,428.0,3.0,6.0,999.2,2.0,6.0,2754.0,2.0,6.0,283.0,2.0,6.0,786.0,2.0,5.0,3683.0
4.0,2.0,9.0,4.0,1.0,46.8,4.0,1.0,588.7,3.0,1.0,341.7,3.0,1.0,571.7,3.0,1.0,5109.0
4.0,3.0,39.9,4.0,3.0,193.5,4.0,2.0,592.0,3.0,2.0,404.0,3.0,2.0,877.4,3.0,2.0,4873.0
4.0,5.0,18.9,4.0,5.0,84.2,4.0,5.0,743.5,3.0,5.0,401.9,3.0,4.0,931.6,3.0,4.0,4399.0
4.0,6.0,237.6,4.0,6.0,570.7,4.0,6.0,2661.0,3.0,6.0,1213.0,3.0,6.0,2043.0,3.0,5.0,4525.0
5.0,2.0,33.2,5.0,1.0,114.5,5.0,1.0,757.8,5.0,1.0,30.7,4.0,1.0,82.2,4.0,1.0,3406.0
5.0,3.0,97.0,5.0,3.0,335.5,5.0,2.0,968.7,5.0,2.0,34.9,4.0,2.0,90.1,4.0,2.0,4223.0
5.0,4.0,43.8,5.0,4.0,132.9,5.0,4.0,1209.0,5.0,3.0,159.6,4.0,3.0,294.1,4.0,3.0,5368.0
5.0,6.0,379.8,5.0,6.0,945.5,5.0,6.0,2778.0,5.0,6.0,157.9,4.0,6.0,450.5,4.0,5.0,5028.0
6.0,2.0,653.1,6.0,1.0,1446.0,6.0,1.0,4009.0,6.0,1.0,575.9,6.0,1.0,1383.0,5.0,1.0,4525.0
6.0,3.0,1330.0,6.0,3.0,2853.0,6.0,2.0,4009.0,6.0,2.0,688.6,6.0,2.0,1466.0,5.0,2.0,4223.0
6.0,4.0,897.3,6.0,4.0,2184.0,6.0,4.0,3771.0,6.0,3.0,1308.0,6.0,3.0,2083.0,5.0,3.0,4873.0
6.0,5.0,1005.0,6.0,5.0,2639.0,6.0,5.0,4658.0,6.0,5.0,626.0,6.0,4.0,1599.0,5.0,4.0,4727.0
