1,黒野 元基,黒野 元基.1,2,石川 吉鎬,石川 吉鎬.1,3,奥田 誠,奥田 誠.1,4,安河内 将,安河内 将.1,5,土井 歩夢,土井 歩夢.1,6,下田 哲也,下田 哲也.1
2.0,3.0,23.7,1.0,3.0,113.9,1.0,2.0,375.5,1.0,2.0,11.0,1.0,2.0,215.7,1.0,2.0,1395.0
2.0,4.0,7.2,1.0,4.0,38.2,1.0,4.0,237.6,1.0,3.0,39.4,1.0,3.0,484.5,1.0,3.0,2253.0
2.0,5.0,38.7,1.0,5.0,137.3,1.0,5.0,545.2,1.0,5.0,17.5,1.0,4.0,128.4,1.0,4.0,944.5
2.0,6.0,96.2,1.0,6.0,286.4,1.0,6.0,861.8,1.0,6.0,35.4,1.0,6.0,301.6,1.0,5.0,2367.0
3.0,2.0,37.2,3.0,1.0,291.3,2.0,1.0,611.2,2.0,1.0,23.4,2.0,1.0,411.0,2.0,1.0,1968.0
3.0,4.0,22.7,3.0,4.0,357.6,2.0,4.0,792.4,2.0,3.0,86.8,2.0,3.0,1027.0,2.0,3.0,4453.0
3.0,5.0,73.5,3.0,5.0,748.1,2.0,5.0,1191.0,2.0,5.0,49.3,2.0,4.0,316.4,2.0,4.0,1626.0
3.0,6.0,158.6,3.0,6.0,1715.0,2.0,6.0,1731.0,2.0,6.0,95.3,2.0,6.0,799.2,2.0,5.0,3224.0
4.0,2.0,5.8,4.0,1.0,52.4,4.0,1.0,360.3,3.0,1.0,133.7,3.0,1.0,1307.0,3.0,1.0,2493.0
4.0,3.0,14.0,4.0,3.0,196.8,4.0,2.0,462.9,3.0,2.0,188.3,3.0,2.0,1640.0,3.0,2.0,4156.0
4.0,5.0,15.3,4.0,5.0,152.3,4.0,5.0,663.2,3.0,5.0,296.3,3.0,4.0,1154.0,3.0,4.0,2634.0
4.0,6.0,34.8,4.0,6.0,358.2,4.0,6.0,1022.0,3.0,6.0,403.0,3.0,6.0,1700.0,3.0,5.0,3979.0
5.0,2.0,75.5,5.0,1.0,398.7,5.0,1.0,1119.0,5.0,1.0,24.3,4.0,1.0,115.6,4.0,1.0,838.6
5.0,3.0,138.0,5.0,3.0,757.1,5.0,2.0,1222.0,5.0,2.0,36.7,4.0,2.0,173.3,4.0,2.0,1206.0
5.0,4.0,54.1,5.0,4.0,349.5,5.0,4.0,1214.0,5.0,3.0,154.4,4.0,3.0,438.0,4.0,3.0,1815.0
5.0,6.0,186.8,5.0,6.0,1307.0,5.0,6.0,1715.0,5.0,6.0,42.5,4.0,6.0,194.2,4.0,5.0,1000.0
6.0,2.0,211.3,6.0,1.0,903.5,6.0,1.0,2149.0,6.0,1.0,79.1,6.0,1.0,816.7,5.0,1.0,1889.0
6.0,3.0,329.2,6.0,3.0,2460.0,6.0,2.0,2562.0,6.0,2.0,110.9,6.0,2.0,1016.0,5.0,2.0,2527.0
6.0,4.0,167.4,6.0,4.0,1044.0,6.0,4.0,2055.0,6.0,3.0,260.4,6.0,3.0,1206.0,5.0,3.0,2710.0
6.0,5.0,270.6,6.0,5.0,1928.0,6.0,5.0,2527.0,6.0,5.0,89.9,6.0,4.0,595.6,5.0,4.0,1027.0
