1,立間 充宏,立間 充宏.1,2,黒野 元基,黒野 元基.1,3,土井 歩夢,土井 歩夢.1,4,鈴木 猛,鈴木 猛.1,5,横田 茂,横田 茂.1,6,福島 勇樹,福島 勇樹.1
2.0,3.0,6.8,1.0,3.0,12.4,1.0,2.0,58.9,1.0,2.0,127.4,1.0,2.0,193.9,1.0,2.0,234.8
2.0,4.0,8.8,1.0,4.0,17.2,1.0,4.0,93.6,1.0,3.0,280.6,1.0,3.0,387.3,1.0,3.0,702.2
2.0,5.0,18.8,1.0,5.0,25.6,1.0,5.0,107.5,1.0,5.0,225.2,1.0,4.0,424.8,1.0,4.0,600.3
2.0,6.0,15.0,1.0,6.0,20.4,1.0,6.0,123.4,1.0,6.0,172.7,1.0,6.0,292.0,1.0,5.0,893.3
3.0,2.0,13.9,3.0,1.0,50.5,2.0,1.0,97.6,2.0,1.0,164.5,2.0,1.0,189.2,2.0,1.0,264.0
3.0,4.0,24.6,3.0,4.0,93.7,2.0,4.0,126.0,2.0,3.0,329.9,2.0,3.0,620.5,2.0,3.0,689.1
3.0,5.0,39.2,3.0,5.0,125.1,2.0,5.0,148.4,2.0,5.0,321.0,2.0,4.0,621.4,2.0,4.0,536.4
3.0,6.0,43.4,3.0,6.0,97.8,2.0,6.0,136.4,2.0,6.0,222.1,2.0,6.0,447.5,2.0,5.0,898.7
4.0,2.0,25.7,4.0,1.0,63.3,4.0,1.0,159.7,3.0,1.0,362.0,3.0,1.0,522.5,3.0,1.0,982.4
4.0,3.0,49.9,4.0,3.0,116.9,4.0,2.0,161.5,3.0,2.0,363.7,3.0,2.0,678.5,3.0,2.0,879.1
4.0,5.0,79.4,4.0,5.0,161.3,4.0,5.0,205.1,3.0,5.0,584.5,3.0,4.0,904.2,3.0,4.0,1367.0
4.0,6.0,61.8,4.0,6.0,109.1,4.0,6.0,225.6,3.0,6.0,519.4,3.0,6.0,774.6,3.0,5.0,1481.0
5.0,2.0,60.7,5.0,1.0,113.0,5.0,1.0,201.5,5.0,1.0,264.8,4.0,1.0,531.9,4.0,1.0,913.5
5.0,3.0,98.3,5.0,3.0,208.3,5.0,2.0,230.5,5.0,2.0,341.8,4.0,2.0,617.1,4.0,2.0,713.5
5.0,4.0,142.3,5.0,4.0,266.9,5.0,4.0,359.6,5.0,3.0,612.0,4.0,3.0,948.8,4.0,3.0,1429.0
5.0,6.0,128.9,5.0,6.0,202.0,5.0,6.0,268.0,5.0,6.0,227.8,4.0,6.0,456.7,4.0,5.0,917.3
6.0,2.0,57.9,6.0,1.0,91.8,6.0,1.0,346.7,6.0,1.0,256.1,6.0,1.0,543.6,5.0,1.0,1086.0
6.0,3.0,141.6,6.0,3.0,191.4,6.0,2.0,333.1,6.0,2.0,289.9,6.0,2.0,560.1,5.0,2.0,1181.0
6.0,4.0,140.7,6.0,4.0,182.1,6.0,4.0,473.3,6.0,3.0,715.8,6.0,3.0,963.2,5.0,3.0,1507.0
6.0,5.0,197.5,6.0,5.0,277.2,6.0,5.0,483.7,6.0,5.0,352.2,6.0,4.0,649.6,5.0,4.0,896.9
