1,宮本 夏樹,宮本 夏樹.1,2,石川 哲秀,石川 哲秀.1,3,山本 浩輔,山本 浩輔.1,4,岡本 猛,岡本 猛.1,5,久保田　凪紗,久保田　凪紗.1,6,山谷 央,山谷 央.1
2.0,3.0,7.8,1.0,3.0,24.1,1.0,2.0,80.1,1.0,2.0,70.3,1.0,2.0,1708.0,1.0,2.0,86.4
2.0,4.0,9.8,1.0,4.0,23.9,1.0,4.0,79.5,1.0,3.0,115.9,1.0,3.0,1108.0,1.0,3.0,98.9
2.0,5.0,253.8,1.0,5.0,347.2,1.0,5.0,497.6,1.0,5.0,509.7,1.0,4.0,752.4,1.0,4.0,110.1
2.0,6.0,10.5,1.0,6.0,32.7,1.0,6.0,66.1,1.0,6.0,64.7,1.0,6.0,2106.0,1.0,5.0,752.4
3.0,2.0,12.8,3.0,1.0,71.9,2.0,1.0,110.6,2.0,1.0,83.9,2.0,1.0,2257.0,2.0,1.0,110.6
3.0,4.0,13.1,3.0,4.0,98.4,2.0,4.0,119.7,2.0,3.0,194.4,2.0,3.0,2340.0,2.0,3.0,255.8
3.0,5.0,181.0,3.0,5.0,632.0,2.0,5.0,644.9,2.0,5.0,854.0,2.0,4.0,2257.0,2.0,4.0,214.9
3.0,6.0,19.2,3.0,6.0,104.2,2.0,6.0,110.8,2.0,6.0,99.2,2.0,6.0,2430.0,2.0,5.0,1580.0
4.0,2.0,20.3,4.0,1.0,61.9,4.0,1.0,142.3,3.0,1.0,179.0,3.0,1.0,1128.0,3.0,1.0,155.6
4.0,3.0,25.3,4.0,3.0,106.9,4.0,2.0,216.4,3.0,2.0,265.5,3.0,2.0,2340.0,3.0,2.0,327.4
4.0,5.0,390.1,4.0,5.0,854.0,4.0,5.0,1053.0,3.0,5.0,972.3,3.0,4.0,1915.0,3.0,4.0,287.2
4.0,6.0,25.0,4.0,6.0,88.7,4.0,6.0,153.4,3.0,6.0,182.1,3.0,6.0,1264.0,3.0,5.0,1915.0
5.0,2.0,522.3,5.0,1.0,1404.0,5.0,1.0,820.8,5.0,1.0,1089.0,4.0,1.0,1620.0,4.0,1.0,127.9
5.0,3.0,448.2,5.0,3.0,1469.0,5.0,2.0,1192.0,5.0,2.0,1708.0,4.0,2.0,2340.0,4.0,2.0,146.9
5.0,4.0,718.2,5.0,4.0,2106.0,5.0,4.0,1620.0,5.0,3.0,1089.0,4.0,3.0,1373.0,4.0,3.0,226.5
5.0,6.0,890.1,5.0,6.0,1128.0,5.0,6.0,1755.0,5.0,6.0,957.6,4.0,6.0,1215.0,4.0,5.0,1036.0
6.0,2.0,23.0,6.0,1.0,71.4,6.0,1.0,117.4,6.0,1.0,62.5,6.0,1.0,2430.0,5.0,1.0,1436.0
6.0,3.0,33.7,6.0,3.0,155.2,6.0,2.0,178.0,6.0,2.0,89.2,6.0,2.0,3717.0,5.0,2.0,2340.0
6.0,4.0,39.9,6.0,4.0,128.2,6.0,4.0,171.2,6.0,3.0,123.2,6.0,3.0,2430.0,5.0,3.0,1755.0
6.0,5.0,590.6,6.0,5.0,1620.0,6.0,5.0,1805.0,6.0,5.0,658.3,6.0,4.0,1805.0,5.0,4.0,1192.0
