1,松崎　祐太郎,松崎　祐太郎.1,2,井上 一輝,井上 一輝.1,3,大塚 雅治,大塚 雅治.1,4,森 悠稀,森 悠稀.1,5,松尾 怜実,松尾 怜実.1,6,久保田　凪紗,久保田　凪紗.1
2.0,3.0,5.1,1.0,3.0,12.8,1.0,2.0,117.6,1.0,2.0,33.2,1.0,2.0,628.7,1.0,2.0,2204.0
2.0,4.0,3.1,1.0,4.0,7.0,1.0,4.0,197.6,1.0,3.0,138.9,1.0,3.0,1276.0,1.0,3.0,4140.0
2.0,5.0,38.0,1.0,5.0,55.6,1.0,5.0,499.3,1.0,5.0,114.7,1.0,4.0,764.6,1.0,4.0,3328.0
2.0,6.0,168.9,1.0,6.0,299.4,1.0,6.0,2176.0,1.0,6.0,435.2,1.0,6.0,2460.0,1.0,5.0,3536.0
3.0,2.0,16.6,3.0,1.0,55.5,2.0,1.0,139.7,2.0,1.0,42.1,2.0,1.0,719.3,2.0,1.0,2738.0
3.0,4.0,25.4,3.0,4.0,89.7,2.0,4.0,229.0,2.0,3.0,150.3,2.0,3.0,1929.0,2.0,3.0,4041.0
3.0,5.0,97.9,3.0,5.0,299.4,2.0,5.0,617.3,2.0,5.0,132.9,2.0,4.0,1154.0,2.0,4.0,3536.0
3.0,6.0,647.9,3.0,6.0,1632.0,2.0,6.0,2357.0,2.0,6.0,445.5,2.0,6.0,3203.0,2.0,5.0,2694.0
4.0,2.0,11.4,4.0,1.0,25.7,4.0,1.0,306.9,3.0,1.0,294.7,3.0,1.0,1463.0,3.0,1.0,4352.0
4.0,3.0,25.8,4.0,3.0,70.7,4.0,2.0,291.6,3.0,2.0,298.3,3.0,2.0,2148.0,3.0,2.0,4244.0
4.0,5.0,89.6,4.0,5.0,180.5,4.0,5.0,861.7,3.0,5.0,679.0,3.0,4.0,2204.0,3.0,4.0,3690.0
4.0,6.0,407.1,4.0,6.0,585.3,4.0,6.0,2325.0,3.0,6.0,1515.0,3.0,6.0,2829.0,3.0,5.0,3031.0
5.0,2.0,184.5,5.0,1.0,316.7,5.0,1.0,824.0,5.0,1.0,187.5,4.0,1.0,812.2,4.0,1.0,3086.0
5.0,3.0,316.7,5.0,3.0,645.4,5.0,2.0,1295.0,5.0,2.0,210.8,4.0,2.0,964.5,4.0,2.0,2738.0
5.0,4.0,358.9,5.0,4.0,515.9,5.0,4.0,1221.0,5.0,3.0,617.3,4.0,3.0,1489.0,4.0,3.0,2829.0
5.0,6.0,986.9,5.0,6.0,2233.0,5.0,6.0,2782.0,5.0,6.0,768.1,4.0,6.0,2877.0,4.0,5.0,3536.0
6.0,2.0,775.1,6.0,1.0,1380.0,6.0,1.0,5305.0,6.0,1.0,1139.0,6.0,1.0,2533.0,5.0,1.0,3031.0
6.0,3.0,975.6,6.0,3.0,2070.0,6.0,2.0,4140.0,6.0,2.0,1088.0,6.0,2.0,2738.0,5.0,2.0,3203.0
6.0,4.0,1266.0,6.0,4.0,1571.0,6.0,4.0,4588.0,6.0,3.0,1732.0,6.0,3.0,2738.0,5.0,3.0,2738.0
6.0,5.0,1116.0,6.0,5.0,1295.0,6.0,5.0,3536.0,6.0,5.0,1154.0,6.0,4.0,2782.0,5.0,4.0,3031.0
