1,鈴木 雅希,鈴木 雅希.1,2,山本 浩輔,山本 浩輔.1,3,齋藤 勇,齋藤 勇.1,4,小林 孝弘,小林 孝弘.1,5,瓜生 正義,瓜生 正義.1,6,魚谷 香織,魚谷 香織.1
2.0,3.0,30.5,1.0,3.0,257.4,1.0,2.0,331.9,1.0,2.0,463.2,1.0,2.0,29.0,1.0,2.0,207.5
2.0,4.0,38.3,1.0,4.0,300.4,1.0,4.0,525.9,1.0,3.0,799.3,1.0,3.0,46.5,1.0,3.0,285.7
2.0,5.0,11.9,1.0,5.0,105.8,1.0,5.0,155.2,1.0,5.0,184.5,1.0,4.0,58.1,1.0,4.0,352.5
2.0,6.0,31.5,1.0,6.0,197.8,1.0,6.0,379.1,1.0,6.0,244.3,1.0,6.0,17.8,1.0,5.0,94.3
3.0,2.0,37.5,3.0,1.0,490.9,2.0,1.0,485.5,2.0,1.0,711.9,2.0,1.0,85.3,2.0,1.0,406.2
3.0,4.0,55.2,3.0,4.0,971.1,2.0,4.0,1258.0,2.0,3.0,1310.0,2.0,3.0,258.6,2.0,3.0,851.6
3.0,5.0,16.6,3.0,5.0,523.4,2.0,5.0,573.6,2.0,5.0,604.9,2.0,4.0,323.2,2.0,4.0,930.3
3.0,6.0,42.5,3.0,6.0,755.7,2.0,6.0,896.4,2.0,6.0,714.2,2.0,6.0,107.8,2.0,5.0,377.2
4.0,2.0,49.8,4.0,1.0,679.2,4.0,1.0,1216.0,3.0,1.0,1243.0,3.0,1.0,144.0,3.0,1.0,760.8
4.0,3.0,77.9,4.0,3.0,1310.0,4.0,2.0,1496.0,3.0,2.0,1677.0,3.0,2.0,308.3,3.0,2.0,1135.0
4.0,5.0,25.6,4.0,5.0,522.2,4.0,5.0,871.7,3.0,5.0,1080.0,3.0,4.0,452.8,3.0,4.0,1496.0
4.0,6.0,46.4,4.0,6.0,823.1,4.0,6.0,1570.0,3.0,6.0,1366.0,3.0,6.0,157.5,3.0,5.0,658.9
5.0,2.0,9.6,5.0,1.0,140.8,5.0,1.0,188.7,5.0,1.0,176.7,4.0,1.0,128.5,4.0,1.0,618.4
5.0,3.0,13.0,5.0,3.0,337.5,5.0,2.0,398.9,5.0,2.0,375.2,4.0,2.0,242.2,4.0,2.0,790.7
5.0,4.0,19.4,5.0,4.0,401.1,5.0,4.0,500.9,5.0,3.0,694.1,4.0,3.0,496.4,4.0,3.0,1994.0
5.0,6.0,7.8,5.0,6.0,211.4,5.0,6.0,274.0,5.0,6.0,165.6,4.0,6.0,104.7,4.0,5.0,456.5
6.0,2.0,55.2,6.0,1.0,419.3,6.0,1.0,596.8,6.0,1.0,409.2,6.0,1.0,28.2,5.0,1.0,89.8
6.0,3.0,57.3,6.0,3.0,914.9,6.0,2.0,1054.0,6.0,2.0,776.9,6.0,2.0,62.3,5.0,2.0,232.5
6.0,4.0,75.4,6.0,4.0,848.3,6.0,4.0,1401.0,6.0,3.0,1410.0,6.0,3.0,93.5,5.0,3.0,305.8
6.0,5.0,20.8,6.0,5.0,364.1,6.0,5.0,495.3,6.0,5.0,307.5,6.0,4.0,75.9,5.0,4.0,284.9
