1,瓜生 正義,瓜生 正義.1,2,浜本 裕己,浜本 裕己.1,3,森 悠稀,森 悠稀.1,4,岡本 猛,岡本 猛.1,5,山本 梨菜,山本 梨菜.1,6,山口 亮,山口 亮.1
2.0,3.0,6.1,1.0,3.0,42.1,1.0,2.0,39.4,1.0,2.0,362.0,1.0,2.0,266.3,1.0,2.0,1094.0
2.0,4.0,23.9,1.0,4.0,111.1,1.0,4.0,58.5,1.0,3.0,295.0,1.0,3.0,134.3,1.0,3.0,837.9
2.0,5.0,12.9,1.0,5.0,61.5,1.0,5.0,29.7,1.0,5.0,268.0,1.0,4.0,384.6,1.0,4.0,1647.0
2.0,6.0,32.1,1.0,6.0,135.9,1.0,6.0,67.1,1.0,6.0,456.1,1.0,6.0,261.9,1.0,5.0,1339.0
3.0,2.0,6.1,3.0,1.0,111.8,2.0,1.0,99.4,2.0,1.0,634.7,2.0,1.0,568.3,2.0,1.0,1598.0
3.0,4.0,14.0,3.0,4.0,516.7,2.0,4.0,355.9,2.0,3.0,1175.0,2.0,3.0,785.2,2.0,3.0,2654.0
3.0,5.0,6.9,3.0,5.0,272.1,2.0,5.0,176.1,2.0,5.0,1441.0,2.0,4.0,1804.0,2.0,4.0,4312.0
3.0,6.0,19.6,3.0,6.0,662.0,2.0,6.0,365.9,2.0,6.0,1656.0,2.0,6.0,1511.0,2.0,5.0,3576.0
4.0,2.0,52.6,4.0,1.0,350.8,4.0,1.0,114.7,3.0,1.0,255.0,3.0,1.0,197.7,3.0,1.0,995.8
4.0,3.0,41.8,4.0,3.0,1100.0,4.0,2.0,265.5,3.0,2.0,876.7,3.0,2.0,570.5,3.0,2.0,2300.0
4.0,5.0,67.6,4.0,5.0,1321.0,4.0,5.0,148.5,3.0,5.0,394.1,3.0,4.0,640.3,3.0,4.0,2583.0
4.0,6.0,111.8,4.0,6.0,1685.0,4.0,6.0,206.0,3.0,6.0,435.1,3.0,6.0,501.3,3.0,5.0,1948.0
5.0,2.0,26.6,5.0,1.0,228.4,5.0,1.0,64.6,5.0,1.0,433.5,4.0,1.0,782.0,4.0,1.0,2528.0
5.0,3.0,17.7,5.0,3.0,506.5,5.0,2.0,129.4,5.0,2.0,1240.0,4.0,2.0,2148.0,4.0,2.0,4511.0
5.0,4.0,64.4,5.0,4.0,1123.0,5.0,4.0,152.9,5.0,3.0,994.1,4.0,3.0,1470.0,4.0,3.0,3512.0
5.0,6.0,48.4,5.0,6.0,1011.0,5.0,6.0,136.6,5.0,6.0,929.5,4.0,6.0,1488.0,4.0,5.0,2977.0
6.0,2.0,91.6,6.0,1.0,668.8,6.0,1.0,198.5,6.0,1.0,891.4,6.0,1.0,741.5,5.0,1.0,1793.0
6.0,3.0,72.8,6.0,3.0,1351.0,6.0,2.0,486.3,6.0,2.0,2346.0,6.0,2.0,1948.0,5.0,2.0,3410.0
6.0,4.0,186.8,6.0,4.0,2156.0,6.0,4.0,539.6,6.0,3.0,1827.0,6.0,3.0,1256.0,5.0,3.0,2196.0
6.0,5.0,120.4,6.0,5.0,1715.0,6.0,5.0,356.5,6.0,5.0,1481.0,6.0,4.0,1585.0,5.0,4.0,2728.0
