1,前田 聖文,前田 聖文.1,2,八木 治樹,八木 治樹.1,3,岡本 猛,岡本 猛.1,4,森 悠稀,森 悠稀.1,5,間野 兼礼,間野 兼礼.1,6,柳生 泰二,柳生 泰二.1
2.0,3.0,33.3,1.0,3.0,350.0,1.0,2.0,353.8,1.0,2.0,100.7,1.0,2.0,414.1,1.0,2.0,115.3
2.0,4.0,23.8,1.0,4.0,228.7,1.0,4.0,151.3,1.0,3.0,77.3,1.0,3.0,360.2,1.0,3.0,105.8
2.0,5.0,54.9,1.0,5.0,459.6,1.0,5.0,298.9,1.0,5.0,40.2,1.0,4.0,128.5,1.0,4.0,46.8
2.0,6.0,30.9,1.0,6.0,261.5,1.0,6.0,164.0,1.0,6.0,21.0,1.0,6.0,111.0,1.0,5.0,132.0
3.0,2.0,37.2,3.0,1.0,697.5,2.0,1.0,666.8,2.0,1.0,256.4,2.0,1.0,1143.0,2.0,1.0,441.0
3.0,4.0,13.9,3.0,4.0,1098.0,2.0,4.0,954.9,2.0,3.0,601.5,2.0,3.0,1928.0,2.0,3.0,1098.0
3.0,5.0,36.8,3.0,5.0,1548.0,2.0,5.0,1237.0,2.0,5.0,354.4,2.0,4.0,1446.0,2.0,4.0,612.8
3.0,6.0,18.0,3.0,6.0,1143.0,2.0,6.0,1092.0,2.0,6.0,267.6,2.0,6.0,1029.0,2.0,5.0,1261.0
4.0,2.0,23.4,4.0,1.0,395.8,4.0,1.0,224.5,3.0,1.0,166.2,3.0,1.0,739.5,3.0,1.0,283.8
4.0,3.0,13.8,4.0,3.0,914.9,4.0,2.0,710.1,3.0,2.0,580.2,3.0,2.0,1928.0,3.0,2.0,959.5
4.0,5.0,21.3,4.0,5.0,898.2,4.0,5.0,407.2,3.0,5.0,339.1,3.0,4.0,1261.0,3.0,4.0,328.4
4.0,6.0,8.9,4.0,6.0,571.8,4.0,6.0,229.2,3.0,6.0,162.5,3.0,6.0,1008.0,3.0,5.0,812.8
5.0,2.0,94.2,5.0,1.0,1347.0,5.0,1.0,676.0,5.0,1.0,44.7,4.0,1.0,121.3,4.0,1.0,52.7
5.0,3.0,70.4,5.0,3.0,2092.0,5.0,2.0,1277.0,5.0,2.0,166.1,4.0,2.0,400.6,4.0,2.0,173.6
5.0,4.0,40.1,5.0,4.0,1653.0,5.0,4.0,793.2,5.0,3.0,233.0,4.0,3.0,470.6,4.0,3.0,158.0
5.0,6.0,32.2,5.0,6.0,1625.0,5.0,6.0,649.2,5.0,6.0,39.8,4.0,6.0,114.3,4.0,5.0,167.4
6.0,2.0,43.0,6.0,1.0,731.2,6.0,1.0,338.0,6.0,1.0,24.5,6.0,1.0,171.0,5.0,1.0,290.5
6.0,3.0,28.9,6.0,3.0,1667.0,6.0,2.0,1080.0,6.0,2.0,112.4,6.0,2.0,771.4,5.0,2.0,1024.0
6.0,4.0,15.0,6.0,4.0,941.2,6.0,4.0,364.9,6.0,3.0,93.5,6.0,3.0,747.9,5.0,3.0,866.5
6.0,5.0,28.9,6.0,5.0,1855.0,6.0,5.0,666.8,6.0,5.0,40.5,6.0,4.0,188.2,5.0,4.0,286.3
