1,林 祐介,林 祐介.1,2,八木 治樹,八木 治樹.1,3,山谷 央,山谷 央.1,4,竹田 広樹,竹田 広樹.1,5,岡本 猛,岡本 猛.1,6,深川 和仁,深川 和仁.1
2.0,3.0,10.0,1.0,3.0,41.6,1.0,2.0,82.5,1.0,2.0,174.0,1.0,2.0,142.1,1.0,2.0,208.8
2.0,4.0,22.5,1.0,4.0,59.3,1.0,4.0,116.2,1.0,3.0,199.4,1.0,3.0,151.0,1.0,3.0,184.4
2.0,5.0,16.2,1.0,5.0,52.0,1.0,5.0,86.8,1.0,5.0,145.9,1.0,4.0,192.0,1.0,4.0,409.9
2.0,6.0,15.7,1.0,6.0,52.8,1.0,6.0,67.3,1.0,6.0,114.7,1.0,6.0,85.5,1.0,5.0,266.0
3.0,2.0,12.0,3.0,1.0,93.7,2.0,1.0,150.8,2.0,1.0,239.3,2.0,1.0,248.8,2.0,1.0,409.0
3.0,4.0,20.5,3.0,4.0,184.6,2.0,4.0,209.9,2.0,3.0,496.4,2.0,3.0,425.9,2.0,3.0,721.2
3.0,5.0,15.6,3.0,5.0,162.6,2.0,5.0,171.7,2.0,5.0,358.7,2.0,4.0,741.9,2.0,4.0,873.4
3.0,6.0,12.4,3.0,6.0,179.5,2.0,6.0,169.8,2.0,6.0,379.1,2.0,6.0,282.0,2.0,5.0,736.6
4.0,2.0,40.4,4.0,1.0,155.9,4.0,1.0,196.3,3.0,1.0,277.8,3.0,1.0,291.5,3.0,1.0,283.1
4.0,3.0,41.3,4.0,3.0,270.9,4.0,2.0,280.8,3.0,2.0,522.7,3.0,2.0,644.8,3.0,2.0,713.8
4.0,5.0,50.0,4.0,5.0,323.9,4.0,5.0,249.7,3.0,5.0,302.6,3.0,4.0,858.9,3.0,4.0,1024.0
4.0,6.0,37.7,4.0,6.0,263.3,4.0,6.0,205.1,3.0,6.0,277.1,3.0,6.0,407.4,3.0,5.0,747.3
5.0,2.0,29.0,5.0,1.0,166.5,5.0,1.0,195.4,5.0,1.0,129.4,4.0,1.0,300.8,4.0,1.0,576.6
5.0,3.0,30.0,5.0,3.0,279.7,5.0,2.0,279.7,5.0,2.0,268.4,4.0,2.0,494.0,4.0,2.0,1009.0
5.0,4.0,59.6,5.0,4.0,392.0,5.0,4.0,316.5,5.0,3.0,273.8,4.0,3.0,659.2,4.0,3.0,1045.0
5.0,6.0,29.2,5.0,6.0,214.9,5.0,6.0,215.1,5.0,6.0,120.8,4.0,6.0,248.8,4.0,5.0,640.8
6.0,2.0,38.0,6.0,1.0,178.7,6.0,1.0,147.8,6.0,1.0,189.0,6.0,1.0,156.9,5.0,1.0,325.4
6.0,3.0,34.4,6.0,3.0,328.0,6.0,2.0,312.2,6.0,2.0,434.8,6.0,2.0,278.9,5.0,2.0,603.5
6.0,4.0,71.0,6.0,4.0,415.6,6.0,4.0,370.9,6.0,3.0,373.6,6.0,3.0,328.5,5.0,3.0,634.9
6.0,5.0,47.4,6.0,5.0,318.9,6.0,5.0,290.3,6.0,5.0,243.2,6.0,4.0,347.9,5.0,4.0,661.3
